age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
34,11,True,False,1,0,0,0,HOH,1
47,8,True,True,1,0,0,0,HOH,5
27,3,False,False,1,0,0,0,HOH,3
50,11,True,True,1,0,0,0,HWH,3
27,3,False,False,1,0,0,0,HOH,3
24,8,True,True,1,0,0,0,HWH,1
61,1,True,True,1,0,0,0,HWH,6
19,2,True,False,1,0,0,0,HOH,4
53,8,False,False,1,0,0,0,HWH,3
44,6,False,True,1,0,0,0,H,7
32,4,True,True,1,0,0,0,HWH,4
16,6,False,False,1,0,0,0,HOH,6
52,10,True,False,1,0,0,0,HWH,6
16,5,True,False,1,0,0,0,HOH,5
20,6,False,False,1,0,0,0,H,3
21,4,False,False,1,0,0,0,HWH,0
42,8,True,True,1,0,0,0,HOH,5
32,4,False,False,1,0,0,0,H,2
19,7,False,False,1,0,0,0,HWH,3
30,4,True,True,1,0,0,0,HWH,2
29,7,False,True,1,0,0,0,HOH,7
32,7,True,True,1,0,0,0,HOH,6
16,10,False,False,1,0,0,0,HOH,0
36,9,True,False,1,0,0,0,H,1
61,8,True,False,1,0,0,0,HOH,4
77,9,False,True,1,0,0,0,H,7
59,6,False,False,1,0,0,0,HOH,3
18,10,True,False,1,0,0,0,H,7
38,5,True,False,1,0,0,0,HOH,1
29,7,True,True,1,0,0,0,H,3
32,7,True,True,1,0,0,0,HOH,6
39,5,True,False,1,0,0,0,HOH,4
35,9,True,True,1,0,0,0,H,6
63,5,False,False,1,0,0,0,HWH,0
28,11,True,True,1,0,0,0,H,7
16,10,False,False,1,0,0,0,HOH,0
18,10,True,False,1,0,0,0,H,7
44,6,False,True,1,0,0,0,H,7
61,8,True,False,1,0,0,0,HOH,4
77,9,False,True,1,0,0,0,H,7
19,2,True,False,1,0,0,0,HOH,4
70,6,True,False,1,0,0,0,H,4
53,8,False,False,1,0,0,0,HWH,3
32,7,True,True,1,0,0,0,HOH,6
42,7,True,False,1,0,0,0,HWH,0
21,4,False,False,1,0,0,0,HWH,0
35,8,False,False,1,0,0,0,HWH,4
44,7,False,True,1,0,0,0,H,6
78,7,True,False,1,0,0,0,HWH,6
48,3,True,False,1,0,0,0,HWH,1
