age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
50,1,True,False,0,0,1,0,H,1
20,7,True,False,0,0,1,0,HWH,0
36,2,True,False,0,0,1,0,HWH,0
55,7,True,False,0,0,1,0,HWH,5
54,10,True,False,0,0,1,0,HWH,7
63,5,True,False,0,0,1,0,HWOWH,1
69,6,True,False,0,0,1,0,HWH,6
55,4,True,False,0,0,1,0,HWH,0
30,5,False,True,0,0,1,0,HWH,2
37,8,True,False,0,0,1,0,HWH,3
60,7,False,True,0,0,1,0,HOH,3
62,6,True,False,0,0,1,0,HWH,0
29,6,True,False,0,0,1,0,H,0
55,7,True,False,0,0,1,0,HWH,5
46,11,False,True,0,0,1,0,HOH,0
59,10,True,False,0,0,1,0,HWH,7
37,6,True,False,0,0,1,0,HWH,2
58,8,True,False,0,0,1,0,HWH,1
50,1,True,False,0,0,1,0,H,1
55,4,True,False,0,0,1,0,HWH,0
37,2,True,True,0,0,1,0,HWH,3
70,7,False,False,0,0,1,0,HOH,1
55,6,False,False,0,0,1,0,HWOH,2
72,5,True,False,0,0,1,0,HWH,0
60,7,True,False,0,0,1,0,HWH,5
70,5,False,False,0,0,1,0,HOH,4
55,7,True,False,0,0,1,0,HWH,5
55,7,True,False,0,0,1,0,HWH,1
59,6,True,True,0,0,1,0,HOH,6
64,4,True,False,0,0,1,0,HWH,3
20,7,True,False,0,0,1,0,HWH,0
54,10,True,False,0,0,1,0,HWH,7
56,5,True,False,0,0,1,0,HOH,4
62,9,True,True,0,0,1,0,HWH,5
26,8,True,True,0,0,1,0,HOH,7
55,7,True,False,0,0,1,0,HWH,5
59,6,True,True,0,0,1,0,HOH,6
55,7,True,False,0,0,1,0,HWH,5
30,5,False,True,0,0,1,0,HWH,2
33,8,True,True,0,0,1,0,HOH,7
58,7,True,False,0,0,1,0,HOH,0
60,7,False,True,0,0,1,0,HOH,3
69,6,True,False,0,0,1,0,HWH,6
70,7,True,False,0,0,1,0,HWH,7
50,6,False,False,0,0,1,0,HWH,0
52,8,True,False,0,0,1,0,HOH,2
79,5,True,False,0,0,1,0,HOH,2
37,6,True,False,0,0,1,0,HWH,2
26,8,True,True,0,0,1,0,HOH,7
63,6,True,False,0,0,1,0,H,1
