age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
60,9,False,True,1,0,0,0,HWH,6
24,11,False,True,1,0,0,0,HWH,3
40,8,True,True,1,0,0,0,HWH,5
64,7,False,False,1,0,0,0,HWH,3
29,5,True,True,1,0,0,0,HWH,6
56,6,True,False,1,0,0,0,HWH,2
17,11,True,False,1,0,0,0,HOH,6
21,9,False,False,1,0,0,0,HOH,1
24,9,True,True,1,0,0,0,HWH,0
35,9,False,True,1,0,0,0,HWOWH,6
60,8,True,True,1,0,0,0,HWH,2
27,8,True,True,1,0,0,0,HWH,0
20,8,False,False,1,0,0,0,HWH,4
20,7,False,False,1,0,0,0,HWH,5
24,1,False,True,1,0,0,0,HWH,4
22,9,False,True,1,0,0,0,HOH,4
62,6,True,True,1,0,0,0,HOH,5
64,7,False,True,1,0,0,0,HWH,5
53,6,False,False,1,0,0,0,HWH,6
51,8,True,False,1,0,0,0,HOH,4
71,9,False,True,1,0,0,0,HOH,2
47,3,False,False,1,0,0,0,HWH,6
30,11,True,True,1,0,0,0,HWH,7
28,8,False,True,1,0,0,0,HOH,5
45,8,True,False,1,0,0,0,HWH,6
46,5,True,False,1,0,0,0,H,5
51,1,False,False,1,0,0,0,HWOH,5
66,6,True,True,1,0,0,0,H,7
52,9,True,False,1,0,0,0,HOH,3
49,11,False,True,1,0,0,0,HOH,0
23,8,True,False,1,0,0,0,HWH,4
62,3,True,True,1,0,0,0,HWH,3
64,7,True,True,1,0,0,0,HOH,5
46,6,True,False,1,0,0,0,HWOWH,1
36,7,True,True,1,0,0,0,HWH,2
71,6,False,False,1,0,0,0,HWH,0
20,10,True,False,1,0,0,0,HOH,5
46,11,True,True,1,0,0,0,HWH,7
27,11,True,False,1,0,0,0,H,1
60,11,True,True,1,0,0,0,HOWOH,5
40,9,False,False,1,0,0,0,H,2
50,6,False,False,1,0,0,0,HOH,2
27,11,True,True,1,0,0,0,H,5
60,6,False,False,1,0,0,0,HWH,0
70,3,False,True,1,0,0,0,HOH,6
21,8,False,False,1,0,0,0,HWH,5
22,2,True,False,1,0,0,0,HWH,6
25,8,True,True,1,0,0,0,HWH,0
63,10,True,False,1,0,0,0,HWH,3
56,2,False,False,1,0,0,0,HOH,6
