HOUSEID,PERSONID,WTTRDFIN,TOUR,TOURTYPE,STOPS,TOUR_FLG,BEGNTIME,DIST_M,TIME_M,MODE_D,MODE_T,TOT_CMIN,TOT_MILS,TOT_DWEL,TOT_DWEL2,VMT,PMT_POV,PMT_WALK,PMT_TRAN,PMT_OTHR,ENDTTIME,uniquePersonId
40641760,2,2669236.6863422003,3,HO,0,0,1910,0.376,5,1,1,5,0.376,0,45,0.0,0.0,0.376,0.0,0.0,1915,40641760_2
40641760,2,2669236.6863422003,4,OH,0,0,2000,0.375,5,1,1,5,0.375,0,0,0.0,0.0,0.375,0.0,0.0,2005,40641760_2
40646560,1,6020767.89079879,1,HO,0,0,420,0.039,10,1,1,10,0.039,0,120,0.0,0.0,0.039,0.0,0.0,430,40646560_1
40646560,1,6020767.89079879,2,OW,0,0,630,28.21,95,3,3,95,28.21,0,550,28.21,28.21,0.0,0.0,0.0,805,40646560_1
40646560,1,6020767.89079879,3,WH,0,0,1715,28.019000000000002,47,3,3,47,28.019000000000002,0,0,28.019000000000002,28.019000000000002,0.0,0.0,0.0,1802,40646560_1
40646560,2,5155247.74435577,1,HO,0,0,658,0.0,2,1,1,2,-9.0,0,50,0.0,0.0,0.0,0.0,0.0,700,40646560_2
40646560,2,5155247.74435577,2,OW,0,0,750,0.963,10,3,3,10,0.963,0,270,0.963,0.963,0.0,0.0,0.0,800,40646560_2
40646560,2,5155247.74435577,3,WO,0,0,1230,1.3530000000000002,15,3,3,15,1.3530000000000002,0,75,1.3530000000000002,1.3530000000000002,0.0,0.0,0.0,1245,40646560_2
40646560,2,5155247.74435577,4,OH,0,0,1400,0.991,15,3,3,15,0.991,0,0,0.991,0.991,0.0,0.0,0.0,1415,40646560_2
40647650,1,311349.998225349,1,HW,0,0,815,8.668,15,3,3,15,8.668,0,195,8.668,8.668,0.0,0.0,0.0,830,40647650_1
40647650,1,311349.998225349,2,WH,1,1,1145,6.632999999999999,10,3,3,20,9.466000000000001,15,45,9.466000000000001,9.466000000000001,0.0,0.0,0.0,1220,40647650_1
40647650,1,311349.998225349,3,HW,0,0,1250,8.668,15,3,3,15,8.668,0,295,8.668,8.668,0.0,0.0,0.0,1305,40647650_1
40647650,1,311349.998225349,4,WH,0,0,1800,9.599,15,3,3,15,9.599,0,0,9.599,9.599,0.0,0.0,0.0,1815,40647650_1
40647650,2,285925.97339177603,1,HW,0,0,655,11.242,20,4,4,20,11.242,0,405,11.242,11.242,0.0,0.0,0.0,715,40647650_2
40647650,2,285925.97339177603,2,WO,0,0,1400,7.0520000000000005,20,4,4,20,7.0520000000000005,0,60,7.0520000000000005,7.0520000000000005,0.0,0.0,0.0,1420,40647650_2
40647650,2,285925.97339177603,3,OH,0,0,1520,4.977,10,4,4,10,4.977,0,0,4.977,4.977,0.0,0.0,0.0,1530,40647650_2
40649086,1,4411216.02428161,1,HW,0,0,750,0.19,10,1,1,10,0.19,0,290,0.0,0.0,0.19,0.0,0.0,800,40649086_1
40649086,1,4411216.02428161,2,WH,0,0,1250,0.19,10,1,1,10,0.19,0,170,0.0,0.0,0.19,0.0,0.0,1300,40649086_1
40649086,1,4411216.02428161,3,HO,0,0,1550,0.405,10,1,1,10,0.405,0,60,0.0,0.0,0.405,0.0,0.0,1600,40649086_1
40649086,1,4411216.02428161,4,OH,0,0,1700,0.405,10,1,1,10,0.405,0,0,0.0,0.0,0.405,0.0,0.0,1710,40649086_1
40654752,1,4583995.46036665,1,HO,0,0,545,0.04,2,1,1,2,0.04,0,43,0.0,0.0,0.04,0.0,0.0,547,40654752_1
40654752,1,4583995.46036665,2,OH,0,0,630,0.040999999999999995,2,1,1,2,0.040999999999999995,0,43,0.0,0.0,0.040999999999999995,0.0,0.0,632,40654752_1
