id,lon,lat,osm_id,id
61171206,-71.1063731,42.3782853,61171206,142
61171207,-71.0914133,42.3796298,61171207,143
61171208,-71.1071915,42.3789507,61171208,144
61171234,-71.0987204,42.3868404,61171234,145
61171235,-71.104343,42.3808503,61171235,146
61171238,-71.1010568,42.3876268,61171238,147
61171240,-71.1019012,42.3879128,61171240,148
61171242,-71.1177573,42.3945236,61171242,149
61171349,-71.130333,42.405231,61171349,150
61171350,-71.130178,42.405117,61171350,151
61171355,-71.0842658,42.3976391,61171355,152
61171356,-71.0841329,42.3980323,61171356,153
61171357,-71.090653,42.379881,61171357,154
61171367,-71.0893181,42.3800586,61171367,155
61171375,-71.1248238,42.4069869,61171375,156
61171385,-71.1249179,42.4068535,61171385,157
61171398,-71.10424,42.3810181,61171398,158
61171434,-71.1188059,42.3913281,61171434,159
61171443,-71.097925,42.393299,61171443,160
61171446,-71.100864,42.389319,61171446,161
61171447,-71.1009534,42.3891925,61171447,162
61171454,-71.088937,42.386036,61171454,163
61171456,-71.087838,42.385692,61171456,164
61171460,-71.094311,42.378791,61171460,165
61171464,-71.1096285,42.3878043,61171464,166
61171472,-71.116446,42.39463,61171472,167
61171473,-71.1174313,42.3949926,61171473,168
61171493,-71.0913321,42.3912504,61171493,169
61171494,-71.090233,42.374344,61171494,170
61171497,-71.0900797,42.375016,61171497,171
61171499,-71.0835447,42.3944388,61171499,172
61171505,-71.094234,42.375782,61171505,173
61171512,-71.1010554,42.3806232,61171512,174
61171565,-71.093746,42.374253,61171565,175
61171581,-71.0884265,42.3960527,61171581,176
61171593,-71.0839012,42.3957311,61171593,177
61171594,-71.1132926,42.3868143,61171594,178
61171608,-71.096331,42.374377,61171608,179
61171615,-71.095239,42.375868,61171615,180
61171682,-71.0932533,42.3939717,61171682,181
61171698,-71.0908259,42.3866387,61171698,182
61171710,-71.0785866,42.3866189,61171710,183
61171713,-71.0789392,42.3869645,61171713,184
61171723,-71.0801414,42.3881945,61171723,185
61171725,-71.0993459,42.3765616,61171725,186
61171764,-71.0866745,42.3890983,61171764,187
61171810,-71.1084209,42.394445,61171810,188
61171814,-71.1079924,42.3942452,61171814,189
61171834,-71.11779,42.387817,61171834,190
61171841,-71.117161,42.387465,61171841,191
61171857,-71.085282,42.3755668,61171857,192
61171861,-71.106413,42.385544,61171861,193
61171868,-71.0840065,42.387881,61171868,194
61171869,-71.0841754,42.3878195,61171869,195
61171870,-71.084663,42.388168,61171870,196
61171880,-71.0928312,42.3752244,61171880,197
61171886,-71.100701,42.389545,61171886,198
61171899,-71.0911675,42.3911386,61171899,199
61171902,-71.0910545,42.3912261,61171902,200
61171905,-71.0903191,42.390601,61171905,201
61171906,-71.0906528,42.3909947,61171906,202
61171919,-71.100302,42.390099,61171919,203
61172019,-71.0855831,42.3825298,61172019,204
61172025,-71.0860815,42.3817853,61172025,205
61172030,-71.1071422,42.3957312,61172030,206
61172044,-71.120731,42.397118,61172044,207
61172059,-71.0959594,42.38797,61172059,208
61172067,-71.109759,42.3958893,61172067,209
61172068,-71.0957319,42.3881537,61172068,210
61172071,-71.081776,42.3901301,61172071,211
61172075,-71.1162815,42.3866642,61172075,212
61172077,-71.1098498,42.395764,61172077,213
61172083,-71.0956486,42.3876611,61172083,214
61172102,-71.100635,42.389638,61172102,215
61172103,-71.1004639,42.3898779,61172103,216
61172109,-71.0952183,42.3872534,61172109,217
61172118,-71.1092773,42.3965851,61172118,218
61172122,-71.0858999,42.3820532,61172122,219
61172132,-71.1247942,42.3967697,61172132,220
61172144,-71.111385,42.382337,61172144,221
61172148,-71.0784184,42.387592,61172148,222
61172164,-71.094733,42.3878444,61172164,223
61172173,-71.0937676,42.3875513,61172173,224
61172197,-71.0950075,42.3750909,61172197,225
61172212,-71.1264735,42.4029453,61172212,226
61172215,-71.126735,42.404128,61172215,227
61172216,-71.127246,42.403293,61172216,228
61172228,-71.0955886,42.3769467,61172228,229
61172248,-71.0978689,42.3766647,61172248,230
61172292,-71.0957701,42.3796964,61172292,231
61172302,-71.097975,42.379475,61172302,232
61172325,-71.116415,42.3890216,61172325,233
61172339,-71.1166236,42.3892443,61172339,234
61172392,-71.0918574,42.3782927,61172392,235
61172404,-71.0921827,42.3794659,61172404,236
61172408,-71.1107133,42.3945378,61172408,237
61172409,-71.1107794,42.3944476,61172409,238
61172416,-71.1102205,42.3952273,61172416,239
61172421,-71.125837,42.405437,61172421,240
61172424,-71.126589,42.404314,61172424,241
61172432,-71.0883579,42.3748415,61172432,242
61172435,-71.0891072,42.3767295,61172435,243
61172442,-71.129133,42.404334,61172442,244
61172457,-71.109347,42.398942,61172457,245
61172458,-71.0939963,42.3876206,61172458,246
61172460,-71.1086189,42.3986993,61172460,247
61172463,-71.110909,42.398928,61172463,248
61172464,-71.111316,42.399507,61172464,249
61172472,-71.117199,42.404015,61172472,250
61172514,-71.0845903,42.3975703,61172514,251
61172524,-71.12144,42.404567,61172524,252
61172530,-71.1322815,42.4145691,61172530,253
61172531,-71.1324598,42.4145678,61172531,254
61172533,-71.1318589,42.4146019,61172533,255
61172550,-71.109152,42.385135,61172550,256
61172552,-71.1089011,42.3848176,61172552,257
61172567,-71.102385,42.396713,61172567,258
61172574,-71.1030771,42.3956682,61172574,259
61172589,-71.109041,42.399113,61172589,260
61172592,-71.0846586,42.3965386,61172592,261
61172597,-71.0844441,42.3971383,61172597,262
61172598,-71.1036571,42.3964098,61172598,263
61172621,-71.0850071,42.3964243,61172621,264
61172623,-71.0853285,42.3955105,61172623,265
61172626,-71.0856174,42.3948538,61172626,266
61172656,-71.116829,42.4015809,61172656,267
61172657,-71.0886374,42.3806562,61172657,268
61172660,-71.0820567,42.3736771,61172660,269
61172687,-71.0838914,42.381656,61172687,270
61172709,-71.0845536,42.3815813,61172709,271
61172838,-71.1251517,42.4064899,61172838,272
61172839,-71.127677,42.406362,61172839,273
61172842,-71.121908,42.406741,61172842,274
61172847,-71.0842989,42.3963017,61172847,275
61173038,-71.129705,42.4047607,61173038,276
61173045,-71.115861,42.405123,61173045,277
61173051,-71.128658,42.403998,61173051,278
61173053,-71.1316405,42.4059621,61173053,279
61173055,-71.123482,42.40446,61173055,280
61173070,-71.123739,42.401851,61173070,281
61173171,-71.124535,42.407433,61173171,282
61173227,-71.130658,42.407975,61173227,283
61173244,-71.124179,42.407977,61173244,284
61173250,-71.1243748,42.4076803,61173250,285
61173299,-71.1106259,42.3884339,61173299,286
61173303,-71.1042902,42.3887189,61173303,287
61173310,-71.1034251,42.3884252,61173310,288
61173331,-71.1056021,42.3884849,61173331,289
61173336,-71.1052269,42.3890343,61173336,290
61173342,-71.0853155,42.3884663,61173342,291
61173400,-71.0878051,42.3894405,61173400,292
61173421,-71.1116787,42.3891405,61173421,293
61173428,-71.0962857,42.3883104,61173428,294
61173441,-71.097161,42.3891393,61173441,295
61173484,-71.099475,42.3744,61173484,296
61173523,-71.097416,42.374429,61173523,297
61173610,-71.1161272,42.3862019,61173610,298
61173625,-71.112005,42.3886623,61173625,299
61173631,-71.1079649,42.390212,61173631,300
61173691,-71.1079288,42.3795465,61173691,301
61173724,-71.090162,42.377677,61173724,302
61173796,-71.0826636,42.3874287,61173796,303
61173817,-71.0862143,42.3813165,61173817,304
61173821,-71.0983838,42.3747091,61173821,305
61173835,-71.097644,42.374429,61173835,306
61173892,-71.0824267,42.3906657,61173892,307
61173895,-71.0864781,42.3943458,61173895,308
61173940,-71.1157302,42.395694,61173940,309
61173953,-71.1162909,42.3948565,61173953,310
61174056,-71.0858448,42.3940951,61174056,311
61174071,-71.0857758,42.3943948,61174071,312
61174092,-71.0813786,42.389832,61174092,313
61174104,-71.0907767,42.3908511,61174104,314
61174140,-71.0901332,42.3905092,61174140,315
61174147,-71.0897087,42.3803134,61174147,316
61174266,-71.1227139,42.4055717,61174266,317
61174274,-71.1254647,42.405999,61174274,318
61174320,-71.0892431,42.3900952,61174320,319
61174341,-71.0840501,42.3988104,61174341,320
61174434,-71.119893,42.400899,61174434,321
61174549,-71.12531,42.406253,61174549,322
61174573,-71.112022,42.399858,61174573,323
61174601,-71.11344,42.3990326,61174601,324
61174622,-71.122937,42.4016364,61174622,325
61174721,-71.121444,42.401264,61174721,326
61174728,-71.12073,42.401096,61174728,327
61174731,-71.1222189,42.4014549,61174731,328
61174743,-71.120681,42.402855,61174743,329
61174749,-71.122628,42.401557,61174749,330
61174772,-71.12175,42.401329,61174772,331
61174794,-71.11442,42.393896,61174794,332
61174835,-71.1064288,42.3967236,61174835,333
61174939,-71.1229752,42.3945836,61174939,334
61175241,-71.108491,42.397728,61175241,335
61175392,-71.1053309,42.3774415,61175392,336
61175432,-71.1051776,42.3773149,61175432,337
61175782,-71.0851848,42.3984456,61175782,338
61175825,-71.1079708,42.3984975,61175825,339
61175833,-71.1077484,42.3984171,61175833,340
61175938,-71.101803,42.396535,61175938,341
61176009,-71.119835,42.396757,61176009,342
61176069,-71.1244841,42.3969433,61176069,343
61176107,-71.0861113,42.3977464,61176107,344
61176115,-71.0866928,42.3973203,61176115,345
61176169,-71.105706,42.397775,61176169,346
61176182,-71.1232508,42.396402,61176182,347
61176207,-71.1260639,42.3960101,61176207,348
61176216,-71.0872719,42.3968946,61176216,349
61176225,-71.0878499,42.3964714,61176225,350
61176231,-71.110035,42.397693,61176231,351
61176237,-71.084834,42.3960809,61176237,352
61176284,-71.0849639,42.395731,61176284,353
61176290,-71.116633,42.396045,61176290,354
61176304,-71.115314,42.3962825,61176304,355
61176326,-71.122309,42.396489,61176326,356
61176365,-71.1257937,42.3961786,61176365,357
61176460,-71.1252682,42.396488,61176460,358
61176647,-71.102802,42.3791651,61176647,359
61176726,-71.0867769,42.3889969,61176726,360
61177298,-71.1021167,42.3890947,61177298,361
61177308,-71.102282,42.3888438,61177308,362
61177497,-71.0849675,42.3815195,61177497,363
61177514,-71.101294,42.3887391,61177514,364
61177546,-71.084823,42.38369,61177546,365
61177566,-71.0851763,42.3831336,61177566,366
61177577,-71.0994829,42.3811601,61177577,367
61177668,-71.114913,42.39686,61177668,368
61177968,-71.1171573,42.3897926,61177968,369
61177979,-71.115787,42.3883482,61177979,370
61178062,-71.1190933,42.3915703,61178062,371
61178078,-71.1015958,42.3743694,61178078,372
61178149,-71.1176506,42.3902704,61178149,373
61178171,-71.117952,42.390561,61178171,374
61178192,-71.1169904,42.3896304,61178192,375
61178429,-71.0832819,42.3916733,61178429,376
61178454,-71.0855342,42.393972,61178454,377
61178663,-71.0988672,42.3793891,61178663,378
61178806,-71.108785,42.385001,61178806,379
61178852,-71.0833816,42.3856914,61178852,380
61178858,-71.083676,42.385309,61178858,381
61178875,-71.0808776,42.3821495,61178875,382
61178885,-71.0806813,42.3821785,61178885,383
61178893,-71.0876252,42.3737677,61178893,384
61178897,-71.086987,42.373276,61178897,385
61178932,-71.1089473,42.3970738,61178932,386
61178942,-71.1087945,42.397296,61178942,387
61179105,-71.114613,42.384956,61179105,388
61179128,-71.1106062,42.3993875,61179128,389
61179350,-71.1079341,42.3870164,61179350,390
61179360,-71.0805685,42.3868039,61179360,391
