age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
28,9,True,True,0,0,0,1,HWH,6
34,4,True,True,0,0,0,1,HOH,1
48,10,False,True,0,0,0,1,HWOWH,3
40,6,False,True,0,0,0,1,HWH,4
60,7,True,False,0,0,1,0,HWH,4
68,11,True,True,0,0,0,1,HWH,6
58,6,False,True,0,0,0,1,HOH,0
77,9,False,True,1,0,0,0,H,6
48,8,False,True,0,0,0,1,HWH,1
35,8,True,True,0,0,0,1,HWH,6
46,10,True,True,0,0,1,0,HWH,5
49,10,False,True,0,0,0,1,HWH,2
50,8,False,False,0,0,0,1,HWH,0
52,8,True,False,0,0,1,0,HOH,7
61,8,False,True,0,0,0,1,HOH,2
58,10,False,True,0,0,0,1,HWH,1
45,5,False,True,0,0,0,1,H,6
30,5,False,True,0,0,1,0,HWH,3
39,5,True,False,1,0,0,0,HOH,0
28,8,True,False,1,0,0,0,HOH,6
61,6,False,False,0,1,0,0,HWH,3
61,8,True,False,1,0,0,0,HOH,3
55,8,False,False,0,0,0,1,HOH,1
49,6,True,False,0,0,1,0,HWH,0
66,8,True,True,0,0,0,1,HOH,6
63,8,False,False,0,0,0,1,H,6
80,7,False,True,0,0,0,1,HOH,1
40,10,False,False,0,0,0,1,H,6
32,10,True,True,0,0,0,1,HWH,0
61,10,True,True,0,0,0,1,HWH,1
59,10,False,True,0,0,0,1,HWH,5
16,10,False,False,1,0,0,0,HOH,7
74,5,False,False,0,1,0,0,HWH,5
72,5,True,False,0,0,1,0,HWH,3
26,6,False,True,0,0,0,1,HOH,6
28,6,True,True,1,0,0,0,HOWOH,3
60,7,False,False,0,1,0,0,HOH,4
59,11,True,True,0,0,0,1,HWOH,2
43,11,False,True,0,0,0,1,HWH,2
45,11,True,True,0,0,0,1,HWH,5
64,4,True,False,0,0,1,0,HWH,0
25,6,False,False,0,0,0,1,HOH,4
51,11,True,True,0,0,0,1,H,2
52,8,False,True,0,1,0,0,HWH,6
56,8,True,False,0,0,0,1,HWH,4
64,2,True,False,1,0,0,0,HOH,0
32,7,False,True,0,0,0,1,HWH,3
26,6,True,True,0,0,0,1,H,7
43,9,True,True,0,0,0,1,HWH,1
41,9,False,True,1,0,0,0,HOH,6
59,8,True,True,1,0,0,0,HOH,4
32,4,True,True,1,0,0,0,HWH,5
30,4,False,False,1,0,0,0,H,6
60,8,True,True,0,0,0,1,HWH,2
60,5,False,True,0,0,0,1,HOH,5
47,11,False,True,0,0,0,1,HOH,2
66,8,False,True,0,0,0,1,HOH,4
24,8,True,True,1,0,0,0,HWH,5
28,10,True,True,0,0,0,1,HOH,6
29,10,False,True,0,0,0,1,HOH,2
71,11,True,True,0,0,0,1,H,4
68,11,False,True,0,1,0,0,H,3
59,6,True,False,0,1,0,0,HWH,6
53,6,False,False,0,1,0,0,HOH,3
66,6,True,False,0,0,0,1,HOH,0
60,6,False,False,0,0,0,1,HOH,4
39,5,True,False,1,0,0,0,HWH,5
27,5,True,False,0,1,0,0,HWOH,7
41,8,False,True,0,0,0,1,HOH,4
41,8,False,True,0,0,0,1,HWH,4
58,1,False,True,0,0,0,1,HWH,7
60,7,False,True,0,0,1,0,HOH,4
72,6,False,False,0,0,0,1,HWH,3
61,7,False,False,0,0,0,1,HOH,7
36,7,True,False,0,0,0,1,HWH,1
64,6,False,True,0,0,0,1,HWOWH,2
39,8,False,False,0,1,0,0,HWH,7
58,8,True,False,0,0,1,0,HWH,1
28,6,True,True,0,1,0,0,HWH,7
29,6,False,True,0,0,0,1,HWH,3
55,11,True,True,0,0,0,1,HWH,3
53,11,False,True,0,0,0,1,HWH,2
39,7,False,True,0,0,0,1,HWH,4
34,7,True,False,0,0,0,1,HWH,0
26,8,False,True,1,0,0,0,HOH,1
26,8,True,True,0,0,1,0,HOH,0
74,8,True,True,0,0,0,1,HOH,4
68,8,False,True,0,0,0,1,HOH,6
22,1,True,True,0,0,0,1,H,5
41,10,False,True,0,0,0,1,HOH,3
58,9,True,True,0,0,0,1,HWH,4
42,8,True,True,1,0,0,0,HOH,2
23,4,True,True,0,0,0,1,HWH,4
21,4,False,False,1,0,0,0,HWH,7
52,11,False,True,0,0,0,1,HWH,4
52,11,True,True,0,0,0,1,HWH,6
51,10,False,True,0,0,0,1,HWH,3
52,10,True,False,1,0,0,0,HWH,1
68,11,False,True,0,0,0,1,HOH,4
