income,age,children,sex,bach_degree,cars,activity_sched
lt35,35 to 60,yes,female,no,one,"['h', 'dp', 'w', 'dp', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'ex', 'h', 'w', 'ex', 'w', 'h', 'bg', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'w', 'sch', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'sch', 'h']"
gt100,35 to 60,no,female,yes,two or more,['h']
gt100,35 to 60,no,male,yes,two or more,"['h', 'bg', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'v', 'r', 'hos', 'v', 'bg', 'v', 'r', 'v', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'bs', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'r', 'rec', 'h']"
gt100,35 to 60,no,male,no,one,"['h', 'bg', 'w', 'r', 'w', 'dp', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'w', 'h', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'bg', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,['h']
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'r', 'h', 'bg', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,['h']
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'h', 'w']"
gt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h', 'w']"
gt100,19 and under,yes,male,no,two or more,"['h', 'sch', 'h']"
lt35,above 60,no,male,no,one,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'v', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'h', 'bg', 'h', 'dp', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'bg', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'w', 'bg', 'h', 'bs', 'h', 'bg', 'r', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,['h']
gt100,above 60,no,male,yes,two or more,"['h', 'rec', 'h', 'ex', 'h', 'w', 'bg', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
lt35,20 to 35,yes,female,no,none,"['h', 'w', 'v', 'h']"
lt35,19 and under,yes,female,no,none,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h', 'rel', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'v', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'bs', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'dp', 'w', 'dp', 'r', 'h']"
lt35,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
lt35,20 to 35,yes,male,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'bg', 'w', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'dp', 'w', 'dp', 'h', 'ex']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'h', 'ex']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'bg', 'w', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'hos', 'h', 'hos', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'ex', 'dp', 'rec', 'dp', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'dp', 'v', 'h', 'r', 'h']"
lt35,35 to 60,no,female,no,two or more,"['h', 'bg', 'dp', 'bg', 'bs', 'r', 'h', 'bg', 'h', 'dp', 'h']"
lt35,35 to 60,no,male,yes,two or more,"['h', 'bg', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,['h']
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'h']"
gt35-lt100,above 60,yes,male,no,two or more,"['h', 'w', 'bg', 'h']"
gt100,above 60,no,female,no,two or more,"['h', 'w', 'dp', 'h', 'r', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'ex', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'rel', 'r', 'h', 'v', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'bg', 'rel', 'r', 'h', 'bg', 'h', 'rec', 'h', 'v', 'rel', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'rec', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'rec', 'bg', 'rec', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'rel', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'r', 'h', 'ex']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'r', 'h', 'r', 'h', 'ex']"
gt100,20 to 35,no,male,yes,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'v', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'w', 'bg']"
lt35,19 and under,yes,female,no,one,['h']
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'bg', 'h', 'bs', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'ex', 'bg', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'r', 'w', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'r', 'w', 'bs', 'w', 'bg', 'h']"
lt35,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'dp', 'r', 'dp', 'bs', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'bg', 'v', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'w']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'dp', 'rec', 'dp', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h', 'rec', 'dp', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'w', 'h', 'rel', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'rel', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'w', 'h']"
gt100,above 60,no,male,yes,one,"['h', 'rel', 'r', 'rec', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'bg', 'h', 'ex', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'r', 'bg']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bg', 'r', 'bg', 'v']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'r', 'bs', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'rec', 'ex', 'bs', 'h', 'r', 'bs', 'rec', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'r', 'bs', 'rec', 'h']"
lt35,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
lt35,20 to 35,yes,female,no,two or more,"['h', 'w', 'r', 'w', 'h']"
lt35,20 to 35,yes,female,no,two or more,"['h', 'w', 'r', 'w', 'h']"
lt35,20 to 35,yes,female,no,two or more,"['h', 'w', 'r', 'w', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'dp', 'sch', 'h', 'v', 'w', 'h']"
lt35,above 60,no,male,yes,two or more,"['h', 'hos', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'bg', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'bg', 'r', 'w', 'h', 'bg', 'bs', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'bg', 'v', 'rec', 'v', 'dp', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'bg', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'w', 'h', 'bg', 'h', 'rec', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'rel', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'bs', 'r', 'bs', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,one,"['h', 'r', 'h', 'r', 'h', 'h']"
gt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'rec', 'h', 'rec', 'h']"
lt35,35 to 60,no,female,no,one,['h']
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'dp', 'h', 'ex', 'h', 'bg', 'h', 'w', 'h']"
gt35-lt100,20 to 35,yes,male,yes,two or more,"['h', 'bg', 'h', 'rec', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'rec', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h', 'bs', 'bg', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h', 'rec', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'h', 'rec', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'r', 'w', 'r', 'bg', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'v']"
gt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'rec', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'ex', 'h', 'ex', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'bg', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'r', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'r', 'dp', 'w', 'dp', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,['h']
gt100,35 to 60,yes,male,yes,two or more,"['h', 'bg', 'h', 'bg', 'h', 'r', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'h', 'r', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h', 'w', 'dp', 'v', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'ex', 'h', 'rec', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'rec', 'v', 'r', 'h', 'dp', 'r', 'rec', 'v', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,one,"['h', 'w', 'dp', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'h', 'dp', 'w', 'dp', 'h', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'h', 'ex', 'h', 'bg', 'h']"
gt100,20 to 35,no,male,no,two or more,"['h', 'r', 'h', 'rec', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'dp', 'h', 'rec', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'ex', 'w', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'ex', 'w', 'ex']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'r', 'h', 'w']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'dp', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'w', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'rel', 'bg', 'w', 'rec', 'rel', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bg', 'h', 'bs', 'bg', 'w', 'h']"
lt35,20 to 35,yes,female,no,one,"['h', 'w', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'v', 'bg', 'v', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'rec', 'r', 'rec', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'bs', 'bg', 'w', 'r', 'h', 'r', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'r', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'dp', 'w', 'r', 'w', 'dp', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'w', 'hos', 'r', 'w', 'dp', 'bg', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'bs', 'r', 'w', 'dp', 'bg', 'r', 'h']"
lt35,20 to 35,yes,female,no,one,"['h', 'bg', 'r', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'hos', 'h', 'hos', 'bg', 'h', 'hos', 'bg', 'bs', 'h', 'rel', 'r', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'ex', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bs', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'bg', 'h', 'v', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'v', 'h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'dp', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'dp', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'ex', 'bg', 'h', 'w', 'h', 'ex']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'ex', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bg', 'w', 'bg', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'r', 'v', 'bg', 'r', 'h', 'dp', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'bg', 'r', 'h', 'dp', 'h']"
gt100,20 to 35,yes,female,no,two or more,"['h', 'dp', 'r', 'bg', 'h', 'r', 'rec', 'h']"
gt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'r', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'ex']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'bg', 'h']"
lt35,above 60,no,female,no,one,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'bg', 'bs', 'bg', 'h', 'r', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'w', 'h', 'hos', 'w', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,male,yes,one,"['h', 'w', 'bs', 'hos', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'w', 'h', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'bg', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'dp', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'dp', 'w', 'h']"
lt35,20 to 35,no,female,yes,one,"['h', 'sch', 'w', 'h']"
lt35,35 to 60,no,female,no,none,"['h', 'hos', 'dp', 'v', 'bs', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,one,"['h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'bs', 'r', 'bg', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'bs', 'r', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'r', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'r', 'bg', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'hos', 'h']"
lt35,above 60,no,male,no,one,"['h', 'bg', 'w', 'bs', 'h', 'bg', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'bg', 'w', 'hos', 'bs', 'h']"
lt35,20 to 35,no,male,yes,two or more,"['h', 'w', 'r', 'w', 'h', 'bg', 'h']"
lt35,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h', 'rec', 'v', 'h']"
lt35,20 to 35,no,male,no,one,"['h', 'bg', 'r', 'h', 'ex', 'h']"
lt35,20 to 35,no,female,no,one,"['h', 'bg', 'r', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'dp', 'w', 'h', 'dp', 'h']"
gt35-lt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,above 60,no,male,no,one,"['h', 'w', 'h']"
lt35,20 to 35,no,male,yes,one,"['h', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'bg', 'rec', 'dp', 'ex', 'h']"
lt35,35 to 60,yes,female,no,two or more,"['h', 'r', 'h', 'r', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'r', 'h', 'w', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'r', 'h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h', 'v', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'w', 'hos', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'rec', 'v', 'h']"
gt35-lt100,20 to 35,yes,female,no,one,"['h', 'dp', 'w', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,one,"['h', 'w', 'h']"
gt100,35 to 60,no,female,no,one,"['h', 'bs', 'r', 'bg', 'r', 'bg', 'h', 'bg', 'v', 'h']"
gt100,35 to 60,no,male,no,one,"['h', 'bs', 'r', 'bg', 'r', 'bg', 'h', 'bg', 'v', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'bs', 'h', 'bs', 'h', 'v', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'r', 'w', 'bg', 'h', 'ex']"
gt100,above 60,no,male,no,two or more,['h']
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'r', 'bg', 'h', 'dp', 'r', 'bg', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'r', 'bg', 'h', 'dp', 'r', 'bs', 'dp', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,['h']
gt100,above 60,no,female,no,two or more,"['h', 'w', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bs', 'bg', 'h', 'hos', 'bs', 'v', 'h', 'ex', 'bs', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'ex', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h', 'v', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'w', 'bs', 'h']"
gt35-lt100,20 to 35,yes,male,yes,two or more,"['h', 'v', 'r', 'h']"
gt35-lt100,20 to 35,no,male,no,one,"['h', 'w', 'bg', 'h']"
lt35,35 to 60,no,female,yes,two or more,"['h', 'ex', 'h', 'w', 'bg', 'h', 'bs', 'h']"
lt35,above 60,no,male,yes,two or more,"['h', 'ex', 'h', 'w', 'v', 'w', 'h', 'bs', 'r', 'bs', 'h']"
lt35,20 to 35,no,male,yes,two or more,"['h', 'w', 'v', 'r', 'h', 'ex']"
gt35-lt100,35 to 60,no,male,yes,two or more,['h']
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'bg', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'r', 'w', 'h']"
gt35-lt100,20 to 35,no,male,no,one,"['h', 'w', 'r', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'w', 'h', 'rec', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,yes,female,no,two or more,"['h', 'dp', 'w', 'dp', 'h']"
lt35,35 to 60,yes,female,no,two or more,['h']
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'v', 'dp', 'hos', 'dp', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'bg', 'r', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'ex', 'bs', 'v', 'dp', 'bs', 'r', 'dp', 'h', 'ex', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'v', 'r', 'w', 'v', 'r', 'h']"
lt35,20 to 35,no,female,no,one,"['h', 'hos', 'h', 'r', 'h', 'r', 'h']"
lt35,20 to 35,no,female,no,one,['h']
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,none,"['h', 'r', 'w', 'r', 'w', 'h', 'bg', 'h']"
lt35,above 60,no,male,yes,two or more,"['h', 'r', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h']"
gt100,35 to 60,no,male,no,one,"['h', 'w', 'r', 'w', 'h']"
gt100,35 to 60,no,female,no,two or more,['h']
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'r', 'h']"
