income,age,children,sex,bach_degree,cars,activity_sched
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'dp', 'h', 'dp', 'ex', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h']"
lt35,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'sch', 'v', 'h']"
lt35,35 to 60,no,male,no,two or more,"['h', 'r', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'dp', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'h', 'ex', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'r', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,yes,one,"['h', 'dp', 'w', 'dp', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'bg', 'w', 'rec', 'h']"
gt100,20 to 35,no,male,yes,two or more,['h']
lt35,above 60,no,female,yes,two or more,"['h', 'w', 'dp', 'rec', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'bg', 'h']"
lt35,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'w', 'h', 'dp', 'h', 'rec', 'h', 'dp', 'h']"
gt35-lt100,above 60,no,male,no,one,"['h', 'bg', 'h', 'bg', 'dp', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'bs', 'bg', 'bs', 'h']"
lt35,above 60,no,female,no,one,['h']
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'rec', 'dp', 'ex', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'bs', 'h', 'bs', 'bg', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h', 'hos', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'bs', 'h', 'dp', 'rec', 'dp', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'bg', 'w', 'bg', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
