aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6229,42.3270806,-83.0603172,5831001551,True,42.3270534,-83.0603658,5831001550,4.167,5.0109930821638,True,25.0,11.25,[],[],616814801,[],[],service,1.11,0.020042368939140073,0.07524013636882582,0.0074236934550574825
6230,42.3251251,-83.0638195,5831006055,True,42.3250968,-83.0638899,5831006054,4.167,6.587785964209682,True,25.0,11.25,[],[],616815438,[],[],service,1.11,0.026349035933964014,0.09891570516831354,0.009759682909940271
6231,42.3251564,-83.0637429,5831006056,True,42.3251251,-83.0638195,5831006055,4.167,7.195093502918979,True,25.0,11.25,[],[],616815438,[],[],service,1.11,0.028778071765934644,0.10803443698076545,0.010659397782102193
6232,42.3251971,-83.0636645,5831006057,True,42.3251564,-83.0637429,5831006056,4.167,7.875476089772394,True,25.0,11.25,[],[],616815438,[],[],service,1.11,0.03149938440833691,0.11825039173832422,0.01166737198484799
6233,42.3255571,-83.0628232,5831006059,True,42.3251971,-83.0636645,5831006057,4.167,79.91233608107228,True,25.0,11.25,[],yes,616815439,[],[],service,1.11,0.31962377442233536,1.1998849261422262,0.11838864604603301
6234,42.3256540,-83.0628991,5831006060,True,42.3255571,-83.0628232,5831006059,4.167,12.45111210645968,True,25.0,11.25,[],yes,616815439,[],[],service,1.11,0.04980046438868763,0.18695363523212732,0.018446092009569894
6235,42.3252942,-83.0637404,5831006061,True,42.3256540,-83.0628991,5831006060,4.167,79.9011060033392,True,25.0,11.25,[],yes,616815439,[],[],service,1.11,0.31957885770474037,1.1997163063564442,0.11837200889383584
6236,42.3251971,-83.0636645,5831006057,True,42.3252942,-83.0637404,5831006061,4.167,12.470379845220364,True,25.0,11.25,[],yes,616815439,[],[],service,1.11,0.049877529178547174,0.18724294061892438,0.018474636807733872
6237,42.3258305,-83.0638464,5831006064,True,42.3258842,-83.0638902,5831006063,4.167,6.972833921031721,True,25.0,11.25,[],[],616815446,[],[],service,1.11,0.027889104555762424,0.10469720602149729,0.0103301243274544
6238,42.3257900,-83.0638173,5042980022,True,42.3258305,-83.0638464,5831006064,4.167,5.099376958576517,True,25.0,11.25,[],[],616815446,[],[],service,1.11,0.020395876164212935,0.076567221600248,0.00755463253122447
