,aNode_bNode,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,type,name,speed,ref,osmid,oneway,distance,activity,minutes
3491,6991479746_6991466149,6991479746,6991466149,42.3321299,-83.0674724,42.3320724,-83.0676561,service,[],[],[],747186486,[],16.39819680381053,driving,0.032809517414586896
3492,6991466149_6991466148,6991466149,6991466148,42.3320724,-83.0676561,42.3323331,-83.0678023,service,[],[],[],747186486,[],31.380915491683925,driving,0.06278694576167251
3493,6551679745_6991466167,6551679745,6991466167,42.3313842,-83.0727127,42.3312437,-83.0727021,service,[],[],[],747186493,yes,15.647167332727374,driving,0.03130685740841811
3494,6991466167_6991466163,6991466167,6991466163,42.3312437,-83.0727021,42.3312148,-83.0726999,service,[],[],[],747186493,yes,3.2186179985392505,driving,0.006439811921847239
3495,6991466163_6991466164,6991466163,6991466164,42.3312148,-83.0726999,42.330645700000005,-83.0723673,service,[],[],[],747186493,yes,68.93475598691654,driving,0.13792468184657172
3496,6991466166_6991479748,6991466166,6991479748,42.330541,-83.072301,42.3305859,-83.07232940000002,service,[],[],[],747186494,[],5.511516098832314,driving,0.011027443174934601
3497,6991479748_6991466164,6991479748,6991466164,42.3305859,-83.07232940000002,42.330645700000005,-83.0723673,service,[],[],[],747186494,[],7.343134717960121,driving,0.014692146294438017
3498,6991466164_6991466165,6991466164,6991466165,42.330645700000005,-83.0723673,42.330813299999996,-83.0718509,service,[],[],[],747186494,[],46.36038113115698,driving,0.09275786540847734
3499,6991466165_6991479749,6991466165,6991479749,42.330813299999996,-83.0718509,42.3308469,-83.0717927,service,[],[],[],747186494,[],6.07021352872857,driving,0.01214528517152575
3500,6991479749_4916175160,6991479749,4916175160,42.3308469,-83.0717927,42.33090479999999,-83.07169250000001,service,[],[],[],747186494,[],10.454374642052997,driving,0.020917116130558217
3501,6991466168_62913593,6991466168,62913593,42.332488,-83.0726115,42.332320200000005,-83.0725126,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,20.352676630018905,driving,0.04072164191680453
3502,62913593_4691680185,62913593,4691680185,42.332320200000005,-83.0725126,42.3321178,-83.07239720000001,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,24.42330485373144,driving,0.048866156169930855
3503,4691680185_62886116,4691680185,62886116,42.3321178,-83.07239720000001,42.3320435,-83.072354,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,8.99262734090823,driving,0.01799245166248145
3504,62886116_4691680190,62886116,4691680190,42.3320435,-83.072354,42.3319834,-83.0723212,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,7.206215629381695,driving,0.01441819853817866
3505,4691680190_3324296778,4691680190,3324296778,42.3319834,-83.0723212,42.3315408,-83.0720735,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,53.26057807510258,driving,0.10656378166287031
3506,3324296778_62913588,3324296778,62913588,42.3315408,-83.0720735,42.331390999999996,-83.07198100000001,tertiary,Rosa Parks Boulevard,35 mph,[],747186495,yes,18.31042970502812,driving,0.03663551361550244
