"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"49","H","H","H","H","H","H","H","H","Z","Z","H","H","H","H","H","H","H","E","E","H","H","H","H","H",49,0,"Homemakers"
"50","H","H","H","H","H","W","W","W","W","W","P","P","W","W","W","W","H","H","H","H","H","H","H","H",50,1,"9-to-5ers"
"51","H","H","H","H","H","H","H","H","H","H","H","X","H","H","H","H","H","H","H","H","H","H","H","H",51,0,"Homemakers"
"52","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",52,0,"Homemakers"
"53","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",53,0,"Homemakers"
"54","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H","H",54,0,"Homemakers"
"55","H","H","H","H","H","H","H","H","W","W","W","W","W","W","S","S","H","H","E","E","H","H","H","H",55,5,"Work-Life Balancers"
"56","H","H","H","H","H","H","H","W","W","W","W","W","W","W","S","S","R","S","E","E","H","H","H","H",56,1,"9-to-5ers"
"57","H","H","H","H","H","H","H","H","H","H","W","H","H","H","D","H","H","H","H","H","H","H","H","H",57,0,"Homemakers"
"58","H","H","H","H","H","H","H","H","E","W","W","W","H","H","D","H","H","E","H","H","H","H","H","H",58,0,"Homemakers"
"59","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",59,0,"Homemakers"
"60","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",60,1,"9-to-5ers"
"61","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",61,0,"Homemakers"
"62","H","H","H","H","H","H","H","H","W","W","W","W","W","E","W","W","W","H","H","H","H","H","H","H",62,5,"Work-Life Balancers"
"63","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","X","H","H","H","H","H",63,1,"9-to-5ers"
"64","H","H","H","H","H","H","H","H","H","H","H","H","S","H","S","R","R","R","R","H","H","H","H","H",64,2,"Afternoon Adventurers"
