"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"1231","H","H","H","H","H","H","H","H","H","H","R","R","R","H","H","H","H","E","E","H","H","H","H","H",1231,2,"Afternoon Adventurers"
"1232","H","H","H","H","H","H","H","H","H","H","H","R","R","R","R","R","H","H","H","H","H","H","H","H",1232,2,"Afternoon Adventurers"
"1233","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1233,0,"Homemakers"
"1234","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","R","R","E","H","H","H","H","H",1234,5,"Work-Life Balancers"
"1235","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","D","E","H","H","H","H","H",1235,1,"9-to-5ers"
"1236","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H",1236,0,"Homemakers"
"1237","H","H","H","H","H","H","H","H","H","S","V","S","H","H","H","H","H","H","H","H","X","X","H","H",1237,0,"Homemakers"
"1238","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1238,1,"9-to-5ers"
"1239","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","D","D","H","H","H","H","H",1239,1,"9-to-5ers"
"1240","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1240,0,"Homemakers"
"1241","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1241,0,"Homemakers"
"1242","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",1242,1,"9-to-5ers"
"1243","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1243,0,"Homemakers"
"1244","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","G","H","H","H",1244,1,"9-to-5ers"
"1245","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1245,0,"Homemakers"
"1246","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1246,0,"Homemakers"
"1247","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1247,0,"Homemakers"
"1248","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1248,0,"Homemakers"
"1249","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1249,0,"Homemakers"
"1250","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H",1250,0,"Homemakers"
"1251","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","E","E","E","E","H","H","H",1251,1,"9-to-5ers"
"1252","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","E","E","E","E","H","H","H",1252,1,"9-to-5ers"
"1253","H","H","H","H","H","H","H","H","H","H","H","S","D","S","D","H","H","H","H","H","H","H","H","H",1253,0,"Homemakers"
"1254","H","H","H","H","H","H","H","H","W","W","W","R","R","R","R","E","E","H","H","H","H","H","H","H",1254,5,"Work-Life Balancers"
"1255","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H",1255,0,"Homemakers"
"1256","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H",1256,0,"Homemakers"
"1257","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1257,0,"Homemakers"
"1258","H","H","H","H","H","H","H","H","H","H","H","D","H","H","H","H","H","H","H","H","H","H","H","H",1258,0,"Homemakers"
"1259","H","H","H","H","H","H","H","H","P","G","G","H","H","H","H","H","H","H","H","H","H","H","H","H",1259,0,"Homemakers"
"1260","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","H","E","E","H","H","H","H","H","H",1260,5,"Work-Life Balancers"
"1261","H","H","H","H","H","H","H","W","W","W","H","H","H","H","H","W","W","W","W","H","H","H","H","H",1261,5,"Work-Life Balancers"
"1262","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1262,0,"Homemakers"
"1263","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","W","E","H","H","H","H",1263,1,"9-to-5ers"
"1264","H","H","H","H","H","H","W","W","W","W","W","E","W","W","W","W","H","H","H","H","H","H","H","H",1264,1,"9-to-5ers"
"1265","H","H","H","H","H","H","H","W","W","W","W","W","X","X","X","X","E","E","H","H","H","H","H","H",1265,1,"9-to-5ers"
"1266","H","H","H","H","H","H","W","W","W","W","W","E","W","W","W","W","H","H","H","H","H","H","H","H",1266,1,"9-to-5ers"
"1267","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1267,1,"9-to-5ers"
"1268","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","V","V","D","D","D","D","H","H",1268,1,"9-to-5ers"
"1269","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1269,0,"Homemakers"
"1270","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1270,0,"Homemakers"
"1271","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1271,0,"Homemakers"
"1272","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1272,0,"Homemakers"
"1273","H","H","H","H","H","H","H","H","H","H","H","H","P","G","G","G","G","H","H","H","H","H","H","H",1273,0,"Homemakers"
"1274","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",1274,1,"9-to-5ers"
"1275","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1275,0,"Homemakers"
"1276","H","H","H","H","H","W","W","W","W","W","W","W","W","D","H","H","H","H","Z","Z","H","H","H","H",1276,1,"9-to-5ers"
"1277","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1277,0,"Homemakers"
"1278","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1278,0,"Homemakers"
"1279","H","H","H","H","H","W","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","W","W",1279,0,"Homemakers"
"1280","H","H","H","H","H","H","H","H","H","C","C","C","C","C","C","C","H","H","H","H","H","H","H","H",1280,6,"Students"
"1281","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1281,0,"Homemakers"
"1282","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","X","H","H","H","H","H","H","H",1282,1,"9-to-5ers"
"1283","H","H","H","H","H","H","H","W","W","W","W","W","H","H","H","G","H","H","H","H","H","H","H","H",1283,5,"Work-Life Balancers"
"1284","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1284,0,"Homemakers"
"1285","H","H","H","H","H","H","D","W","W","W","W","W","W","W","W","D","H","H","H","H","H","H","H","H",1285,1,"9-to-5ers"
"1286","H","H","H","H","H","H","H","H","H","H","X","H","H","H","H","H","H","H","H","H","H","H","H","H",1286,0,"Homemakers"
"1287","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1287,0,"Homemakers"
"1288","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1288,0,"Homemakers"
"1289","H","H","H","H","H","H","H","W","W","W","W","W","H","H","H","W","C","C","C","H","H","H","H","H",1289,5,"Work-Life Balancers"
"1290","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",1290,1,"9-to-5ers"
"1291","H","H","H","H","H","H","H","C","C","C","C","C","C","C","C","C","C","H","H","H","H","H","H","H",1291,6,"Students"
"1292","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1292,0,"Homemakers"
"1293","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1293,0,"Homemakers"
"1294","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1294,0,"Homemakers"
"1295","H","H","H","H","H","H","H","H","H","H","H","H","H","D","D","H","H","H","H","H","H","H","H","H",1295,0,"Homemakers"
"1296","H","H","H","H","H","H","H","H","H","H","V","V","E","P","G","V","V","V","H","H","H","H","H","H",1296,4,"Socialites"
"1297","H","H","H","H","H","H","H","H","H","H","H","H","H","S","S","H","H","H","H","H","H","H","H","H",1297,0,"Homemakers"
"1298","H","H","H","H","W","W","W","W","W","W","W","W","W","W","G","H","H","H","H","H","H","H","H","H",1298,1,"9-to-5ers"
"1299","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1299,0,"Homemakers"
"1300","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","E","V","V","V","V","V",1300,4,"Socialites"
"1301","H","H","H","H","H","H","H","H","H","H","H","H","H","H","P","G","H","H","H","H","H","H","H","H",1301,0,"Homemakers"
"1302","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1302,0,"Homemakers"
"1303","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H",1303,0,"Homemakers"
"1304","H","H","H","H","H","H","H","H","H","H","H","P","P","H","H","H","H","H","H","Z","H","H","H","H",1304,0,"Homemakers"
"1305","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","E","E","R","R","H","H",1305,2,"Afternoon Adventurers"
"1306","H","H","H","H","H","H","H","H","W","W","W","E","E","W","W","W","D","D","E","H","H","H","H","H",1306,5,"Work-Life Balancers"
"1307","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1307,0,"Homemakers"
"1308","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1308,0,"Homemakers"
"1309","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",1309,1,"9-to-5ers"
"1310","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1310,0,"Homemakers"
"1311","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1311,0,"Homemakers"
"1312","H","H","H","H","H","H","H","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H","H","H",1312,5,"Work-Life Balancers"
"1313","H","H","H","H","H","H","G","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",1313,1,"9-to-5ers"
"1314","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1314,0,"Homemakers"
"1315","H","H","H","H","H","H","H","H","H","H","H","H","H","V","H","V","H","H","H","H","H","H","H","H",1315,0,"Homemakers"
"1316","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1316,0,"Homemakers"
"1317","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1317,0,"Homemakers"
"1318","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1318,0,"Homemakers"
"1319","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1319,0,"Homemakers"
"1320","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1320,0,"Homemakers"
"1321","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1321,0,"Homemakers"
"1322","H","H","H","H","Z","H","H","R","R","R","R","R","G","E","V","H","H","H","H","H","H","H","H","H",1322,2,"Afternoon Adventurers"
"1323","H","H","H","H","H","H","H","H","H","H","H","H","G","E","V","H","H","H","H","H","H","H","H","H",1323,0,"Homemakers"
"1324","H","H","H","H","H","H","H","H","H","H","H","P","P","P","P","P","P","P","H","H","H","H","H","H",1324,0,"Homemakers"
"1325","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1325,1,"9-to-5ers"
"1326","H","H","H","H","H","H","W","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","W",1326,0,"Homemakers"
"1327","H","H","H","H","H","H","W","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W",1327,0,"Homemakers"
"1328","H","H","H","H","H","H","H","C","C","C","C","C","C","C","C","C","C","C","H","H","H","H","H","H",1328,6,"Students"
"1329","H","H","H","H","H","H","H","H","H","H","H","X","H","H","H","H","H","H","H","G","G","H","H","H",1329,0,"Homemakers"
"1330","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1330,0,"Homemakers"
"1331","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1331,1,"9-to-5ers"
"1332","H","H","H","H","H","H","H","H","H","P","P","H","H","H","H","H","H","H","H","H","H","H","H","H",1332,0,"Homemakers"
"1333","H","H","H","H","H","H","H","H","H","P","P","H","H","H","H","H","H","H","H","H","H","H","H","H",1333,0,"Homemakers"
"1334","H","H","H","H","H","H","H","H","H","H","H","H","H","H","V","V","V","H","G","H","H","H","H","H",1334,0,"Homemakers"
"1335","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H","H","H","G","H","H","H","H","H",1335,1,"9-to-5ers"
"1336","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H",1336,0,"Homemakers"
"1337","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H",1337,0,"Homemakers"
"1338","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H",1338,0,"Homemakers"
"1339","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1339,0,"Homemakers"
"1340","H","H","H","H","H","H","H","H","H","H","H","P","P","P","P","P","P","P","H","H","H","H","H","H",1340,0,"Homemakers"
"1341","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","V","V","V","V","V","H",1341,4,"Socialites"
"1342","H","H","H","H","H","H","H","H","H","H","D","E","G","S","H","H","H","H","H","H","H","H","H","H",1342,0,"Homemakers"
"1343","H","H","H","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H","H","H",1343,0,"Homemakers"
"1344","H","H","H","H","G","W","W","W","W","W","W","W","W","G","H","H","H","H","H","H","H","H","H","H",1344,1,"9-to-5ers"
"1345","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1345,0,"Homemakers"
"1346","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H",1346,1,"9-to-5ers"
"1347","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1347,0,"Homemakers"
"1348","H","H","H","H","H","H","R","H","H","H","H","X","X","H","H","H","W","G","G","H","H","H","H","H",1348,0,"Homemakers"
"1349","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1349,1,"9-to-5ers"
"1350","H","H","H","H","H","D","D","H","H","H","H","D","D","D","E","E","G","G","D","H","H","H","H","H",1350,0,"Homemakers"
"1351","H","H","H","H","H","H","H","H","H","W","W","W","W","V","V","V","V","V","V","H","H","H","H","H",1351,4,"Socialites"
"1352","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1352,5,"Work-Life Balancers"
"1353","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1353,0,"Homemakers"
"1354","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1354,0,"Homemakers"
"1355","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1355,0,"Homemakers"
"1356","H","H","H","H","H","H","H","H","H","S","S","P","P","P","P","X","H","H","G","G","H","H","H","H",1356,0,"Homemakers"
"1357","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","Z","Z","Z","H","H","H",1357,1,"9-to-5ers"
"1358","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1358,0,"Homemakers"
"1359","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1359,1,"9-to-5ers"
"1360","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","D","H","H","H","H","H","H","H",1360,1,"9-to-5ers"
"1361","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",1361,1,"9-to-5ers"
"1362","H","H","H","H","H","H","H","G","G","G","G","H","H","H","H","H","H","H","H","H","H","H","H","H",1362,0,"Homemakers"
"1363","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1363,1,"9-to-5ers"
"1364","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1364,0,"Homemakers"
"1365","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1365,0,"Homemakers"
"1366","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","X","X","X","X","X",1366,1,"9-to-5ers"
"1367","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","X","X","X","X","X",1367,1,"9-to-5ers"
"1368","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1368,1,"9-to-5ers"
"1369","H","H","H","H","H","H","H","P","P","P","P","P","H","H","H","H","H","H","H","H","H","H","H","H",1369,0,"Homemakers"
"1370","H","H","H","H","H","H","W","W","W","X","R","R","R","R","R","R","R","R","R","D","H","H","H","H",1370,2,"Afternoon Adventurers"
"1371","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1371,1,"9-to-5ers"
"1372","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1372,0,"Homemakers"
"1373","H","H","H","H","H","H","H","D","W","W","W","W","V","V","V","V","V","V","E","E","E","E","V","V",1373,1,"9-to-5ers"
"1374","H","H","H","H","H","H","H","H","H","W","H","D","D","V","H","H","H","H","E","E","E","E","H","H",1374,0,"Homemakers"
"1375","H","H","H","H","H","H","H","G","E","H","H","H","G","H","H","D","H","H","H","H","H","H","H","H",1375,0,"Homemakers"
"1376","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1376,1,"9-to-5ers"
"1377","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",1377,1,"9-to-5ers"
"1378","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1378,1,"9-to-5ers"
"1379","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1379,0,"Homemakers"
"1380","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1380,0,"Homemakers"
"1381","H","H","H","H","H","H","H","H","X","E","G","H","H","H","H","V","H","H","H","H","H","H","H","H",1381,0,"Homemakers"
"1382","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1382,1,"9-to-5ers"
"1383","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1383,0,"Homemakers"
"1384","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1384,0,"Homemakers"
"1385","H","H","H","H","H","H","H","H","H","H","H","E","H","H","D","H","H","H","H","H","H","H","H","H",1385,0,"Homemakers"
"1386","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","G","H","H","H","H","H","H","H","H",1386,5,"Work-Life Balancers"
"1387","H","H","H","H","H","H","H","H","R","R","R","R","R","R","G","H","E","E","H","H","H","H","H","H",1387,2,"Afternoon Adventurers"
"1388","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","H","E","E","H","H","H","H","H","H",1388,5,"Work-Life Balancers"
"1389","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1389,0,"Homemakers"
"1390","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1390,0,"Homemakers"
"1391","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H","H",1391,0,"Homemakers"
"1392","H","H","H","H","H","H","H","H","E","E","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1392,0,"Homemakers"
"1393","H","H","H","H","H","H","H","H","E","E","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1393,0,"Homemakers"
"1394","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","X","H","H","H","H","H",1394,1,"9-to-5ers"
"1395","H","H","H","H","H","H","H","X","X","X","X","H","H","H","H","H","H","H","H","H","H","H","H","H",1395,0,"Homemakers"
"1396","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1396,5,"Work-Life Balancers"
"1397","H","H","H","H","H","H","H","H","H","H","Z","Z","E","H","H","H","R","H","G","H","H","H","H","H",1397,0,"Homemakers"
"1398","H","H","H","H","H","H","W","W","W","W","Z","Z","E","H","H","V","V","H","H","H","H","H","H","H",1398,5,"Work-Life Balancers"
"1399","H","H","H","H","H","H","H","H","H","H","Z","Z","E","H","H","H","R","H","Z","Z","Z","H","H","H",1399,0,"Homemakers"
"1400","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1400,0,"Homemakers"
"1401","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1401,0,"Homemakers"
"1402","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1402,0,"Homemakers"
"1403","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1403,0,"Homemakers"
"1404","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","W","H","H","R","H","H","H",1404,1,"9-to-5ers"
"1405","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1405,1,"9-to-5ers"
"1406","H","H","H","H","H","H","H","H","H","H","H","G","R","R","R","R","R","G","H","H","H","H","H","H",1406,2,"Afternoon Adventurers"
"1407","H","H","H","H","H","H","H","H","H","H","H","G","R","R","R","R","R","G","H","H","H","H","H","H",1407,2,"Afternoon Adventurers"
"1408","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","Z","Z","H","H","H","H","H",1408,1,"9-to-5ers"
"1409","H","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","H","H","H","H","H","H","H",1409,5,"Work-Life Balancers"
"1410","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","G","H","H","H","H",1410,0,"Homemakers"
"1411","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","X","X","X","X","X","X","X",1411,0,"Homemakers"
"1412","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","X","X","X","X","X","X","X",1412,0,"Homemakers"
"1413","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1413,0,"Homemakers"
"1414","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H",1414,1,"9-to-5ers"
"1415","H","H","H","H","H","H","H","E","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H","H",1415,0,"Homemakers"
"1416","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1416,0,"Homemakers"
"1417","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1417,0,"Homemakers"
"1418","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1418,0,"Homemakers"
"1419","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1419,0,"Homemakers"
"1420","H","H","H","H","H","H","H","H","W","W","W","W","W","W","G","H","H","H","H","H","H","H","H","H",1420,1,"9-to-5ers"
"1421","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1421,5,"Work-Life Balancers"
"1422","H","H","H","H","H","H","H","H","P","H","H","D","D","P","P","P","D","R","R","R","R","H","H","H",1422,2,"Afternoon Adventurers"
"1423","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1423,0,"Homemakers"
"1424","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1424,0,"Homemakers"
"1425","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1425,0,"Homemakers"
"1426","H","H","H","H","H","H","H","H","H","H","V","G","G","H","H","H","H","R","H","H","H","H","H","H",1426,0,"Homemakers"
"1427","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",1427,1,"9-to-5ers"
"1428","H","H","H","H","H","H","H","H","H","H","H","X","G","H","H","H","H","H","H","H","H","H","H","H",1428,0,"Homemakers"
"1429","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1429,0,"Homemakers"
"1430","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","G","H","H","H","H","H","H","H",1430,1,"9-to-5ers"
"1431","H","H","H","H","H","H","H","W","W","S","W","W","W","W","W","W","W","H","H","H","H","H","H","H",1431,1,"9-to-5ers"
"1432","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1432,0,"Homemakers"
"1433","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1433,0,"Homemakers"
"1434","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","E","D","H","H","H","H",1434,1,"9-to-5ers"
"1435","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",1435,0,"Homemakers"
"1436","H","H","H","H","H","H","H","H","H","H","G","X","H","H","G","H","H","E","H","H","H","H","H","H",1436,0,"Homemakers"
"1437","H","H","H","H","H","H","H","H","H","H","G","G","H","H","G","H","H","E","H","H","H","H","H","H",1437,0,"Homemakers"
"1438","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","V","V","H","H","H",1438,1,"9-to-5ers"
"1439","H","H","H","H","H","H","H","H","H","G","G","G","H","H","H","H","H","H","H","H","H","H","H","H",1439,0,"Homemakers"
"1440","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",1440,1,"9-to-5ers"
