P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,id
H,H,H,H,H,H,H,H,H,S,S,S,S,S,S,S,S,H,H,H,H,H,H,H,1
H,H,H,H,H,H,H,H,H,H,H,H,G,Z,G,H,H,H,H,H,H,H,H,H,2
H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,H,3
H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,H,4
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,5
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,W,W,W,Z,Z,H,H,6
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,7
H,H,H,H,H,X,P,P,P,P,P,E,V,X,X,X,X,X,X,X,X,X,X,X,8
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,9
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,10
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,11
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,12
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,D,S,S,H,H,H,H,H,H,13
H,H,H,H,H,H,H,H,H,R,R,R,H,H,H,H,H,H,H,H,H,H,H,H,14
H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,15
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,16
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,17
H,H,H,H,H,H,H,D,X,H,H,H,H,H,H,H,D,H,X,H,H,H,H,H,18
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,19
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,20
H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,D,H,W,W,W,W,W,W,W,21
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,R,R,H,H,H,H,H,22
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,S,G,H,H,H,H,H,H,23
H,H,H,H,H,H,H,H,H,V,V,V,V,V,H,H,H,H,H,H,H,H,H,H,24
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,25
H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,26
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,27
H,H,H,H,H,H,H,H,H,H,X,X,X,G,H,H,H,H,E,E,H,H,H,H,28
H,H,H,H,H,H,H,H,H,H,X,X,X,G,H,H,H,H,E,E,H,H,H,H,29
H,H,H,H,H,H,H,H,H,V,H,H,R,R,R,V,V,V,V,E,H,H,H,H,30
H,H,H,H,H,H,H,H,H,H,G,S,H,H,H,H,E,E,H,H,H,H,H,H,31
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,X,E,H,H,H,H,H,32
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,33
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,34
H,H,H,H,H,H,H,H,E,H,H,S,E,E,R,R,H,H,H,H,H,H,H,H,35
H,H,H,H,H,H,H,H,H,X,S,S,E,H,H,H,H,H,H,H,H,H,H,H,36
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,V,V,V,V,H,H,H,H,37
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,38
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,39
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,40
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,H,H,H,H,H,H,41
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,X,X,X,X,42
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,E,E,H,H,H,H,H,H,H,43
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,44
H,H,H,H,H,H,H,X,X,X,X,W,W,W,W,W,H,X,X,X,H,H,H,H,45
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,46
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,47
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,48
H,H,H,H,H,H,H,H,Z,Z,H,H,H,H,H,H,H,E,E,H,H,H,H,H,49
H,H,H,H,H,W,W,W,W,W,P,P,W,W,W,W,H,H,H,H,H,H,H,H,50
H,H,H,H,H,H,H,H,H,H,H,X,H,H,H,H,H,H,H,H,H,H,H,H,51
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,52
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,53
H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,54
H,H,H,H,H,H,H,H,W,W,W,W,W,W,S,S,H,H,E,E,H,H,H,H,55
H,H,H,H,H,H,H,W,W,W,W,W,W,W,S,S,R,S,E,E,H,H,H,H,56
H,H,H,H,H,H,H,H,H,H,W,H,H,H,D,H,H,H,H,H,H,H,H,H,57
H,H,H,H,H,H,H,H,E,W,W,W,H,H,D,H,H,E,H,H,H,H,H,H,58
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,59
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,60
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,61
H,H,H,H,H,H,H,H,W,W,W,W,W,E,W,W,W,H,H,H,H,H,H,H,62
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,X,H,H,H,H,H,63
H,H,H,H,H,H,H,H,H,H,H,H,S,H,S,R,R,R,R,H,H,H,H,H,64
H,H,H,H,H,H,H,H,H,H,H,P,G,G,H,H,H,R,R,H,H,H,H,H,65
H,H,H,H,R,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,66
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,67
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,68
H,H,H,H,H,H,D,P,P,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,69
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,70
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,E,H,H,H,H,H,71
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,E,H,H,H,H,H,72
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,73
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,74
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,75
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,76
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,S,H,H,H,H,H,H,H,77
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,78
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,79
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,80
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,81
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,E,E,E,E,H,H,H,H,H,82
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,83
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,84
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,R,R,R,R,H,H,85
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,S,R,R,R,R,H,H,86
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,87
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,88
H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,R,R,H,H,H,H,H,H,H,89
H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,90
H,H,H,H,H,H,H,H,H,H,H,H,V,V,V,V,V,V,V,H,H,H,H,H,91
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,R,R,R,H,H,H,92
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,G,H,H,H,H,93
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,X,X,H,H,H,H,H,94
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,95
H,H,H,H,H,H,H,H,H,S,G,H,H,H,H,H,H,H,H,H,H,H,H,H,96
H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,97
H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,V,V,E,E,H,H,H,H,H,98
H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,V,V,E,E,H,H,H,H,H,99
H,H,H,H,H,H,H,X,X,X,X,H,H,H,V,V,V,H,H,H,H,H,H,H,100
H,H,H,H,H,H,H,H,H,H,H,H,R,R,H,H,H,H,H,H,H,H,H,H,101
H,H,H,H,H,H,H,H,H,H,H,H,H,R,H,H,H,H,H,H,H,H,H,H,102
H,H,H,H,H,H,H,H,H,X,X,H,H,W,H,H,H,H,H,H,H,H,H,H,103
H,H,H,H,H,H,H,H,H,H,H,P,P,P,G,G,H,H,H,X,X,X,X,X,104
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,105
H,H,H,H,H,H,H,H,H,H,H,G,V,V,V,V,V,H,H,H,H,H,H,H,106
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,107
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,108
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,109
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,110
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,111
H,H,H,H,H,H,H,W,W,W,W,W,W,W,S,W,D,H,H,H,H,D,H,H,112
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,E,E,E,E,H,H,113
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,114
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,H,H,H,H,H,H,H,H,H,115
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,G,H,H,H,H,H,H,116
H,H,H,H,H,H,H,W,W,W,W,W,W,S,W,W,W,H,H,H,H,H,H,H,117
H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,D,H,H,H,H,H,118
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,119
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,120
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,121
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,122
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,H,H,H,H,H,H,H,H,H,123
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,124
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,125
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,126
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,127
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,H,H,H,H,H,H,H,128
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,129
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,130
H,H,H,H,H,H,H,H,H,H,H,G,V,V,H,H,H,H,H,H,H,H,H,H,131
H,H,H,H,H,H,H,H,H,H,S,E,H,H,H,H,H,H,H,H,H,H,H,H,132
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,133
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,134
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,135
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,136
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Z,Z,H,H,H,H,137
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,138
H,H,H,H,H,H,H,C,C,C,C,C,C,C,V,V,V,H,H,H,H,H,H,H,139
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,140
H,H,H,H,H,H,H,H,H,H,H,H,E,W,W,W,W,W,W,W,W,H,H,H,141
H,H,H,H,H,H,H,H,G,S,G,G,G,H,H,H,H,H,Z,Z,Z,Z,H,H,142
H,H,H,H,H,H,H,H,G,S,G,G,G,H,H,H,H,H,Z,Z,Z,Z,H,H,143
H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,D,H,H,H,H,H,144
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,145
H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,146
H,H,H,H,H,H,H,X,X,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,147
H,H,H,H,H,H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,148
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,149
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,150
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,151
H,H,H,H,H,H,H,H,H,H,H,P,G,H,H,H,H,H,S,H,H,H,H,H,152
H,H,H,H,H,H,H,H,H,H,H,P,G,H,H,H,H,H,S,H,H,H,H,H,153
H,H,H,H,H,H,H,W,W,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,154
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,155
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,X,H,H,H,H,H,H,156
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,157
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,158
H,H,H,H,H,H,H,H,W,W,R,R,R,R,R,R,R,H,H,H,H,H,H,H,159
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,160
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,161
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,162
H,H,H,H,H,H,H,H,H,H,H,H,H,G,S,S,H,H,H,H,H,H,H,H,163
H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,164
H,H,H,H,H,H,H,H,H,H,G,E,H,H,H,H,H,H,H,H,H,H,H,H,165
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,R,H,H,H,H,H,H,H,H,166
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,167
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,H,H,H,H,H,H,168
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,169
H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,H,H,H,H,H,170
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,171
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,H,H,H,H,172
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,173
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,174
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,175
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,176
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,H,H,H,H,H,H,H,H,177
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,178
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,179
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,180
H,H,H,H,H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,H,181
H,H,H,H,H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,H,182
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,183
H,H,H,H,H,H,W,W,W,W,W,W,W,P,P,H,H,H,H,H,H,H,H,H,184
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,R,H,H,H,H,H,H,185
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,186
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,X,H,H,H,H,H,187
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,188
H,H,H,H,H,H,H,H,G,G,W,W,W,W,W,W,W,W,H,H,H,H,H,H,189
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,190
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,191
H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,H,H,192
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,V,V,V,V,V,V,H,H,193
H,H,H,H,H,H,H,H,H,H,H,S,X,X,H,H,V,V,V,V,V,V,H,H,194
H,H,H,H,H,H,H,H,H,H,H,G,S,G,E,H,H,H,H,H,H,H,H,H,195
H,H,H,H,H,H,H,H,H,H,H,G,S,G,E,H,H,H,H,H,H,H,H,H,196
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,D,H,H,H,H,H,H,197
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,198
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,199
H,H,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,W,W,W,W,200
H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,W,W,W,W,W,W,W,H,H,201
H,H,H,H,H,H,H,H,H,S,H,H,H,H,V,V,V,V,H,H,H,H,H,H,202
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,203
H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,V,V,V,H,H,204
H,H,H,H,H,H,H,H,X,X,H,W,W,W,W,H,H,H,H,H,H,H,H,H,205
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,R,H,H,H,H,H,H,206
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,X,X,G,H,H,H,H,H,207
H,H,H,H,H,H,H,H,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,208
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,209
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,210
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,211
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,H,212
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,213
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,214
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,215
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,216
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,217
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,218
H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,219
H,H,H,H,H,H,H,H,H,H,G,G,G,G,X,X,X,X,X,X,X,X,X,X,220
H,H,H,H,H,H,H,H,H,H,G,G,G,G,H,H,H,R,R,R,H,H,H,H,221
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,222
H,H,H,H,H,H,H,H,H,H,X,S,H,H,H,H,H,H,H,H,H,H,H,H,223
H,H,H,H,H,H,H,H,H,V,S,H,H,H,H,H,X,H,H,H,H,H,H,H,224
H,H,H,H,H,H,H,H,H,H,H,H,P,P,H,W,W,W,H,H,H,H,H,H,225
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,226
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,227
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,228
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,229
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,230
H,H,H,H,H,H,H,H,H,H,H,H,H,E,H,G,H,V,V,V,H,H,H,H,231
H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,232
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,233
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,234
H,H,H,H,H,H,H,H,H,E,S,H,H,H,H,H,H,H,H,H,H,H,H,H,235
H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,H,H,H,H,H,H,236
H,H,H,H,H,H,H,V,V,H,G,V,H,V,E,H,H,H,V,H,H,H,H,H,237
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,238
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,239
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,240
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,241
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,242
H,H,H,H,H,H,H,W,W,W,W,W,H,H,G,X,H,H,H,H,R,R,H,H,243
H,H,H,H,H,H,H,H,G,H,H,H,H,H,V,V,H,V,V,H,H,H,H,H,244
H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,245
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,246
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,H,H,H,H,H,H,H,247
H,H,H,H,H,H,H,H,H,Z,Z,W,G,H,Z,Z,H,E,E,E,E,H,H,H,248
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,E,E,H,H,H,249
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,250
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,251
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,252
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,253
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,254
H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,255
H,H,H,H,H,H,H,W,W,W,W,W,W,W,D,W,W,W,H,H,H,H,H,H,256
H,H,H,H,H,H,H,H,H,P,E,E,H,H,S,H,H,H,H,H,H,H,H,H,257
H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,H,H,H,H,258
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,259
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,260
H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,S,H,H,H,H,H,H,H,261
H,H,H,H,H,H,H,H,H,H,H,H,H,Z,Z,Z,D,H,H,H,H,H,H,H,262
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,263
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,264
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,265
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,266
H,H,H,H,H,H,G,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,H,H,267
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,268
H,H,H,H,H,H,H,H,H,H,R,R,R,R,E,V,V,V,G,H,H,H,H,H,269
H,H,H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,H,H,H,270
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,271
H,H,H,H,H,H,H,H,H,H,V,V,V,V,V,V,V,V,E,V,H,H,H,H,272
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,273
H,H,H,H,H,H,H,H,H,H,G,W,W,W,W,W,W,W,W,H,E,E,H,H,274
H,H,H,H,H,H,H,H,H,H,H,E,E,E,G,H,H,H,H,H,H,H,H,H,275
H,H,H,H,H,H,H,H,W,W,W,E,W,W,W,W,W,H,H,H,H,H,H,H,276
H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,G,G,H,G,H,H,277
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,E,E,H,H,H,278
