P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,id
H,H,H,H,H,H,H,W,W,W,W,W,H,H,R,R,R,R,R,H,H,H,H,H,3862
H,H,H,H,H,H,H,W,W,W,W,W,E,H,R,R,R,R,R,H,H,H,H,H,3863
H,H,H,H,H,H,H,W,W,W,W,W,S,H,H,H,H,H,H,H,H,H,H,H,3864
H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,H,H,H,H,H,H,H,H,H,3865
H,H,H,H,H,H,H,H,H,H,H,H,H,E,V,V,H,E,E,H,H,H,H,H,3866
H,H,H,H,H,H,H,H,H,H,H,H,H,E,V,V,H,E,E,H,H,H,H,H,3867
H,H,H,H,H,H,H,H,H,H,G,G,G,H,H,H,H,H,H,H,H,H,H,H,3868
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,3869
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3870
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,D,D,H,H,H,H,H,H,3871
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,3872
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,E,E,E,W,W,W,3873
H,H,H,H,H,H,W,W,W,W,W,H,W,W,W,Z,Z,H,H,H,H,H,H,H,3874
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3875
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,3876
H,H,H,H,H,H,H,H,H,H,H,H,H,P,G,D,H,H,H,H,H,H,H,H,3877
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,V,V,H,H,H,H,H,3878
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3879
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3880
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3881
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3882
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3883
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,E,E,H,H,H,H,3884
H,H,H,H,H,H,H,H,R,R,R,E,G,H,H,H,H,H,H,H,H,H,H,H,3885
H,H,H,H,H,H,H,X,X,X,X,H,H,H,H,H,H,X,H,H,V,H,H,H,3886
H,H,H,H,H,H,H,H,H,S,S,E,E,S,W,H,H,G,G,G,H,H,H,H,3887
H,H,H,H,H,H,H,W,W,W,W,W,E,H,H,H,H,G,G,G,H,H,H,H,3888
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,R,R,H,H,H,H,3889
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,E,E,E,D,H,H,H,H,3890
H,H,H,H,H,H,H,P,P,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,3891
H,H,H,H,H,H,H,H,H,H,H,H,S,S,H,H,H,H,H,H,H,H,H,H,3892
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3893
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3894
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,3895
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,3896
H,H,H,H,H,H,H,H,H,H,H,G,H,H,S,H,H,H,H,H,H,H,H,H,3897
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,H,3898
H,H,H,H,H,H,H,H,H,H,H,H,S,S,G,G,H,H,H,H,H,H,H,H,3899
H,H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,H,H,H,H,3900
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3901
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3902
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3903
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3904
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3905
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3906
H,H,H,H,H,H,H,H,E,R,R,R,R,R,R,E,E,H,H,H,H,H,H,H,3907
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,H,H,3908
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,3909
H,H,H,H,H,H,H,H,H,H,H,S,H,H,H,H,R,R,H,H,H,H,H,H,3910
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,S,S,V,H,H,H,H,3911
H,H,H,H,H,H,H,H,H,E,E,E,E,R,R,R,R,R,G,G,E,H,H,H,3912
H,H,H,H,H,H,H,H,H,E,E,E,E,R,R,R,R,R,G,G,E,H,H,H,3913
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3914
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3915
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3916
H,H,H,H,H,X,X,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3917
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,E,E,H,H,H,H,H,H,3918
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,E,E,H,H,H,H,H,H,3919
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3920
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3921
H,H,H,H,H,X,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,3922
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3923
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3924
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,E,E,E,H,H,H,3925
H,H,H,H,H,H,H,H,V,V,V,V,G,G,H,H,H,H,H,H,H,H,H,H,3926
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3927
