age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
60,11,False,True,0,0,0,1,HWOWH,4
61,9,False,True,0,0,0,1,H,1
65,8,True,True,0,0,0,1,HOH,5
51,8,False,False,0,0,0,1,H,1
50,5,False,True,0,0,0,1,HOH,3
29,6,True,True,0,0,0,1,H,4
62,8,True,False,0,0,0,1,H,0
66,8,True,True,0,0,0,1,HWH,4
71,9,True,True,0,0,0,1,HOH,2
54,7,False,True,0,0,0,1,HWH,4
57,9,False,True,0,0,0,1,HOH,5
51,11,True,True,0,0,0,1,HWH,4
65,7,False,True,0,0,0,1,HWH,1
39,11,True,True,0,0,0,1,HWH,7
36,7,True,True,0,0,0,1,HOH,1
49,10,False,True,0,0,0,1,HOH,4
49,7,False,True,0,0,0,1,HWH,5
53,11,False,True,0,0,0,1,HOH,6
55,11,False,True,0,0,0,1,HOH,4
60,9,False,False,0,0,0,1,HOH,6
68,7,False,True,0,0,0,1,HWH,7
35,11,True,True,0,0,0,1,HWH,6
27,6,True,True,0,0,0,1,H,1
23,5,False,False,0,0,0,1,H,7
72,7,False,True,0,0,0,1,HOH,5
58,6,True,True,0,0,0,1,HWH,2
55,6,False,False,0,0,0,1,HWOH,5
61,10,False,True,0,0,0,1,HOH,0
58,10,True,True,0,0,0,1,HWH,2
59,10,True,False,0,0,0,1,HWH,5
56,8,False,True,0,0,0,1,HOH,4
22,8,False,True,0,0,0,1,HWH,5
38,10,False,True,0,0,0,1,HWH,1
31,7,True,True,0,0,0,1,HWH,4
61,8,True,True,0,0,0,1,HWH,6
58,7,True,False,0,0,0,1,HOH,0
51,5,True,False,0,0,0,1,HWH,2
30,5,True,True,0,0,0,1,HWH,2
29,8,False,True,0,0,0,1,HWH,0
71,11,False,True,0,0,0,1,HWH,6
63,9,True,True,0,0,0,1,HWH,5
82,8,True,True,0,0,0,1,HOH,0
26,4,False,False,0,0,0,1,H,6
58,8,False,True,0,0,0,1,HWH,4
33,8,True,True,0,0,0,1,HOH,2
69,8,False,True,0,0,0,1,HWOH,4
53,8,False,True,0,0,0,1,HWH,6
34,7,False,True,0,0,0,1,HOH,0
54,11,False,True,0,0,0,1,HWH,0
16,5,True,False,0,0,0,1,HOH,1
