age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
49,5,False,True,0,1,0,0,HWH,4
40,7,False,True,0,1,0,0,HWH,3
28,9,False,True,0,1,0,0,HOH,4
32,8,False,True,0,1,0,0,HWH,3
29,5,True,True,0,1,0,0,HOH,4
52,4,False,False,0,1,0,0,HWH,5
52,4,False,False,0,1,0,0,HWH,5
49,5,False,True,0,1,0,0,HWH,4
73,10,False,True,0,1,0,0,HWH,3
73,3,False,False,0,1,0,0,HOH,2
29,5,True,True,0,1,0,0,HOH,4
54,10,False,False,0,1,0,0,HWH,6
29,7,False,True,0,1,0,0,HWH,4
30,9,False,False,0,1,0,0,HWH,4
25,6,True,False,0,1,0,0,HWH,6
42,5,False,False,0,1,0,0,HWH,4
57,8,False,False,0,1,0,0,HWH,7
63,6,False,False,0,1,0,0,H,0
21,8,False,False,0,1,0,0,HWH,2
66,6,True,False,0,1,0,0,HWOWH,0
53,7,False,True,0,1,0,0,HWH,2
63,6,False,False,0,1,0,0,H,0
60,7,False,False,0,1,0,0,HWH,2
17,9,True,False,0,1,0,0,HOH,5
59,8,False,False,0,1,0,0,H,2
63,8,False,False,0,1,0,0,H,5
59,6,True,False,0,1,0,0,HWH,3
52,6,True,False,0,1,0,0,HOH,7
73,10,False,True,0,1,0,0,HWH,3
32,8,False,True,0,1,0,0,HWH,3
74,5,False,False,0,1,0,0,HWH,4
73,10,False,True,0,1,0,0,HWH,3
51,9,False,True,0,1,0,0,HWH,6
42,5,False,False,0,1,0,0,HWH,4
62,7,False,False,0,1,0,0,HWH,4
21,8,False,False,0,1,0,0,HWH,2
42,5,False,False,0,1,0,0,HWH,4
49,5,False,True,0,1,0,0,HWH,4
61,6,False,False,0,1,0,0,HWH,7
25,6,True,False,0,1,0,0,HWH,6
64,6,False,True,0,1,0,0,HWOWH,3
53,6,False,False,0,1,0,0,HOH,7
45,8,False,False,0,1,0,0,HOH,0
74,5,False,False,0,1,0,0,HWH,4
52,6,True,False,0,1,0,0,HOH,7
28,9,False,True,0,1,0,0,HOH,4
62,7,False,False,0,1,0,0,HWH,4
40,6,False,False,0,1,0,0,HOWOH,6
52,8,False,True,0,1,0,0,HWH,7
52,8,False,True,0,1,0,0,HWH,7
