age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
66,7,True,True,0,0,1,0,HOH,4
37,6,True,False,0,0,1,0,HWH,7
25,6,True,False,0,0,1,0,HWH,4
45,7,True,True,0,0,1,0,HWH,5
58,7,True,False,0,0,1,0,HOH,0
49,6,True,False,0,0,1,0,HWH,7
38,8,True,True,0,0,1,0,HWH,0
69,4,True,True,0,0,1,0,H,6
18,3,True,False,0,0,1,0,HWH,6
36,2,True,False,0,0,1,0,HWH,7
25,6,True,False,0,0,1,0,HWH,4
63,7,True,True,0,0,1,0,HWH,4
62,6,True,False,0,0,1,0,HWH,4
26,8,True,True,0,0,1,0,HOH,5
69,6,True,False,0,0,1,0,HWH,3
28,2,False,True,0,0,1,0,HWH,7
42,8,True,False,0,0,1,0,HWH,5
62,9,True,True,0,0,1,0,HWH,2
28,9,True,True,0,0,1,0,HWH,3
63,6,True,False,0,0,1,0,H,5
64,4,True,False,0,0,1,0,HWH,6
45,7,True,True,0,0,1,0,HWH,5
70,7,False,False,0,0,1,0,HOH,0
55,7,True,False,0,0,1,0,HWH,6
30,5,False,True,0,0,1,0,HWH,0
70,7,False,False,0,0,1,0,HOH,0
26,8,True,True,0,0,1,0,HOH,5
25,5,True,False,0,0,1,0,HWH,3
58,8,True,False,0,0,1,0,HWH,6
69,4,True,True,0,0,1,0,H,6
50,1,True,False,0,0,1,0,H,1
63,5,True,False,0,0,1,0,HWOWH,6
50,7,True,False,0,0,1,0,HWH,0
62,6,True,False,0,0,1,0,HWH,4
79,5,True,False,0,0,1,0,HOH,5
52,8,True,False,0,0,1,0,HOH,5
42,8,True,False,0,0,1,0,HWH,5
58,7,True,False,0,0,1,0,HOH,7
26,8,True,True,0,0,1,0,HOH,5
38,8,True,True,0,0,1,0,HWH,0
70,7,False,False,0,0,1,0,HOH,0
37,6,True,False,0,0,1,0,HWH,7
69,6,True,False,0,0,1,0,HWH,3
37,2,True,True,0,0,1,0,HWH,3
70,7,True,False,0,0,1,0,HWH,3
37,6,True,False,0,0,1,0,HWH,2
55,5,True,False,0,0,1,0,H,5
37,8,True,False,0,0,1,0,HWH,7
64,4,True,False,0,0,1,0,HWH,6
50,1,True,False,0,0,1,0,H,1
