income,age,children,sex,bach_degree,cars,activities,start_times
gt100,35 to 60,yes,male,no,two or more,H_V,32400
gt100,above 60,no,male,no,two or more,H_W_H,25500_61260
gt100,35 to 60,no,female,no,two or more,H_W_H,21660_57780
gt35-lt100,20 to 35,no,female,no,two or more,H_W_H,25200_64980
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,28800_61260
gt100,35 to 60,yes,male,no,two or more,H_W_R_H,32460_64860_75660
gt100,35 to 60,yes,female,no,two or more,H_W_X_H_X_G_H,21840_50400_54180_65040_72000_75600
gt35-lt100,above 60,no,female,yes,two or more,H_W_H,29100_61260
gt100,20 to 35,no,female,yes,two or more,H_W_G_W_H,25380_39780_43200_57780
gt100,35 to 60,no,female,yes,two or more,H_W_E_W_H,25380_39600_39900_61380
gt100,35 to 60,no,male,no,two or more,H_E_D_W_D_H,21900_28800_28860_61260_61320
gt100,35 to 60,no,female,no,two or more,H_W_H_W_H,28800_46800_47040_61320
gt35-lt100,above 60,no,female,yes,two or more,H,
gt100,35 to 60,yes,male,yes,two or more,H_G_H_G_H_E_H,28860_29100_36000_36300_61200_68400
gt100,35 to 60,yes,female,yes,two or more,H_G_H_E_H,36000_36300_61380_68520
gt100,35 to 60,no,male,no,two or more,H_G_H_G_H,32520_36060_57780_61200
gt100,35 to 60,no,female,no,two or more,H_G_H_W_D_V_H,32460_36060_43440_50640_57660_61380
gt35-lt100,35 to 60,no,male,no,two or more,H_W_X_H_R_H,28860_61260_64980_68580_68700
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H,25440_54000
gt100,35 to 60,yes,female,yes,two or more,H_R_V_E_H_D_E_R_V_D_H,36060_43320_43440_47100_61320_61440_68580_79200_82800_82800
gt35-lt100,35 to 60,yes,male,no,one,H_W_D_H,18120_50580_54120
gt100,35 to 60,yes,male,yes,two or more,H_W_G_H,21720_61200_64980
gt100,35 to 60,yes,female,yes,two or more,H_D_H_D_W_D_H_R_H,29040_29100_29100_32400_57720_57840_61500_65100
gt100,35 to 60,yes,male,yes,two or more,H_W_H,25200_64980
gt100,35 to 60,yes,female,yes,two or more,H_W_G_H,25260_54300_57720
gt35-lt100,20 to 35,no,female,yes,one,H_W_H_X_H_G_H,25380_46800_50400_54120_68520_68700
gt100,20 to 35,no,male,no,two or more,H_E_H_R_H,61380_68580_72180_79200
gt100,20 to 35,yes,female,yes,two or more,H_W_D_H_R_H,25320_57600_57780_61380_65100
gt100,20 to 35,yes,male,yes,two or more,H_W_H_R_H,25260_61200_61500_68400
gt35-lt100,above 60,no,male,yes,two or more,H_X_W_G_H,21900_25500_46800_50400
gt35-lt100,above 60,no,female,yes,two or more,H_X_W_X,21840_25440_68400
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_G_H,18180_54060_54300
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_G_H_G_H,32640_39780_43260_54000_54300
gt100,35 to 60,yes,male,yes,two or more,H_W_H,25380_57720
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H_E_H_W,21720_25320_65100_75720_79260
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H_E_H,29040_61200_65100_75720
gt35-lt100,20 to 35,yes,male,yes,two or more,H_W_D_H,21720_50580_54000
gt35-lt100,20 to 35,yes,female,yes,two or more,H_D_W_H,25260_25320_57780
lt35,35 to 60,no,female,no,one,H_W_H,14580_43200
gt100,35 to 60,no,male,no,one,H_W_H,25260_57600
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_X_H,21780_54000_54180_57660
gt35-lt100,35 to 60,no,female,no,two or more,H_G_H,61320_64860
gt100,35 to 60,no,male,no,two or more,H_Z_G_W_R_Z_H,21840_25440_28800_39600_64800_64980
gt100,35 to 60,no,female,yes,two or more,H_G_H_S_G_W_H,25260_25440_28920_29040_32400_57600
lt35,20 to 35,yes,female,no,one,H_W_H,14400_64800
gt100,35 to 60,no,male,yes,two or more,H_V_G_V_H,39600_47100_50520_54240
gt100,35 to 60,no,female,yes,two or more,H_R_E_R_G_H,32580_46860_46980_61380_64800
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_H,50400_54000
gt35-lt100,35 to 60,no,male,no,two or more,H_G_W_H,32400_32460_64980
gt35-lt100,above 60,no,male,no,two or more,H_W_H,25440_61200
gt35-lt100,35 to 60,no,female,yes,one,H_W_S_G_W_E_H_E_H,25440_39840_39900_43260_61200_72060_72300_79500
gt100,20 to 35,no,female,yes,two or more,H_W_H,21720_57600
gt100,20 to 35,no,male,yes,two or more,H_W_H,21600_57660
gt35-lt100,35 to 60,no,female,no,two or more,H_W_E_W_H,25200_39900_43260_68400
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_E_H,28800_32400_61200_61320
gt35-lt100,20 to 35,yes,male,yes,two or more,H_W_D_W_E_W_D_H,32400_36180_39720_46800_46860_57600_57600
gt35-lt100,20 to 35,yes,female,yes,two or more,H_D_W_P_E_W_D_G_H,28860_29040_39600_43440_43500_57840_57900_64920
lt35,35 to 60,yes,female,no,one,H_S_E_W_D_G_E_H,32640_32700_36060_68580_68700_72120_75660
lt35,20 to 35,yes,female,no,one,H_G_E_H,68700_72120_75660
lt35,35 to 60,no,female,no,one,H_P_H_P_G_H_P_G_S_H_Z_E_H,21900_28980_32640_39660_46980_50580_57660_61320_61380_65040_75720_79260
gt100,above 60,no,male,yes,two or more,H_W_X_H,28860_57660_64800
gt100,35 to 60,no,female,yes,two or more,H_S_H_G_H,32520_36180_43380_46800
gt35-lt100,above 60,no,male,yes,two or more,H_W_H,18240_57600
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_H,29100_57600
gt35-lt100,35 to 60,no,male,yes,two or more,H_W_G_H_V_H,25380_46800_54000_57600_75600
gt35-lt100,20 to 35,no,female,yes,two or more,H_V_H_W_H,36000_46800_57600_0
gt35-lt100,35 to 60,yes,female,no,two or more,H_W_D_H,25260_54000_54180
gt35-lt100,35 to 60,yes,male,no,two or more,H_D_W_H,25380_25500_61200
gt100,35 to 60,yes,male,yes,two or more,H_W_D_H,25200_57600_57900
gt100,20 to 35,yes,female,yes,two or more,H_D_W_H,25440_25500_61200
gt100,35 to 60,yes,female,yes,two or more,H_W_H,21840_64800
gt35-lt100,35 to 60,no,female,yes,one,H_X_G_H_W_H_X,29100_36000_36060_39600_57900_64980
gt35-lt100,above 60,no,male,no,two or more,H_W_H_G_H,28860_57600_64800_64860
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_X_H,21600_54180_61380
gt100,35 to 60,no,female,yes,two or more,H_G_W_G_H,28800_28920_61380_65040
gt100,35 to 60,no,male,no,two or more,H_W_H,21780_57780
gt100,35 to 60,no,female,yes,two or more,H_W_H,18300_57780
gt100,35 to 60,no,male,no,two or more,H_W_H,21600_54180
gt100,35 to 60,yes,female,yes,two or more,H_G_E_V_G_E_H_D_H,32400_39780_43200_57900_61260_64800_79320_79440
gt100,35 to 60,yes,male,yes,two or more,H_W_G_E_H_D_H,43200_57900_61260_64800_79320_79440
gt100,20 to 35,yes,female,no,two or more,H_D_E_G_H_E_R_H,46980_47100_50580_57600_68400_72240_82800
gt100,20 to 35,yes,male,no,two or more,H_W_H,46980_79380
gt100,35 to 60,no,female,no,two or more,H_W_E_W_H,25380_46980_50400_57660
gt100,35 to 60,no,male,no,two or more,H_W_G_H,18060_57660_61260
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H_X,25440_61200_64860
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H_G_H,21780_57600_65040_68400
lt35,above 60,no,female,no,one,H_W_H,29040_54000
gt100,20 to 35,no,female,yes,two or more,H_W_H_E_H,25380_61200_61440_65040
gt35-lt100,above 60,no,female,yes,two or more,H_G_S_G_H_E_H,32400_32460_32580_36180_64800_72180
gt100,above 60,no,female,yes,two or more,H_W_H,25260_61260
gt100,above 60,no,male,yes,two or more,H_W_H_G_H,21900_43380_50460_50580
gt35-lt100,above 60,no,female,yes,one,H_W_H_P_W_H_X_H,28980_36000_36240_39840_61380_64980_68580
gt35-lt100,20 to 35,no,male,yes,one,H_W_S_P_H,25440_57840_61200_61380
gt100,35 to 60,yes,male,yes,two or more,H_W_H,18000_61320
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H_W_H_G_H,28980_43260_46800_64980_72180_75720
gt35-lt100,20 to 35,no,female,no,two or more,H_W_G_H_G_H,28980_50640_50700_72180_75660
gt35-lt100,above 60,no,female,yes,two or more,H_W_H,21600_72120
gt35-lt100,20 to 35,yes,female,no,two or more,H_W_D_H_X_H,25440_54000_54180_68640_75660
gt35-lt100,20 to 35,yes,male,no,two or more,H_D_W_H,36000_36120_68580
lt35,20 to 35,no,female,yes,one,H_C_W_H,32400_57600_65100
lt35,35 to 60,no,female,no,none,H_P_D_V_S_H,28980_32580_43200_50460_50640
gt35-lt100,35 to 60,no,female,no,two or more,H_W_G_H,25380_61200_61440
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,43200_46800
gt35-lt100,20 to 35,no,male,yes,one,H_W_H,29040_61200
gt100,20 to 35,no,male,yes,two or more,H_S_E_G_H,39780_46800_50400_72180
gt100,20 to 35,no,female,yes,two or more,H_S_E_G_H,39780_46800_50400_72180
gt35-lt100,35 to 60,no,female,no,two or more,H_E_G_H,18180_18180_36060
gt35-lt100,20 to 35,no,female,no,two or more,H_E_G_H,18180_18180_36060
gt100,above 60,no,male,yes,two or more,H_W_P_H,28800_57660_61260
lt35,above 60,no,male,no,one,H_G_W_S_H_G_H,21600_21660_36000_36180_43500_47040
gt100,35 to 60,no,female,yes,two or more,H_W_G_H,21660_50580_61200
gt100,35 to 60,no,male,yes,two or more,H_W_G_W_P_S_H,21660_43200_43320_50400_54180_57660
lt35,20 to 35,no,male,yes,two or more,H_W_E_W_H_G_H,25440_43200_43320_57780_64860_65100
lt35,20 to 35,no,male,yes,two or more,H_W_H_G_H,36240_61200_64860_65100
gt100,35 to 60,no,male,yes,two or more,H_W_H_R_V_H,43200_46800_57720_64980_75660
lt35,20 to 35,no,male,no,one,H_G_E_H_X_H,32580_43380_50400_65100_68640
lt35,20 to 35,no,female,no,one,H_G_E_H,32580_43380_50400
gt35-lt100,20 to 35,yes,female,yes,two or more,H_D_W_H_D_H,25200_25260_50400_54060_54180
gt35-lt100,20 to 35,yes,male,yes,two or more,H_W_H,25320_57600
lt35,above 60,no,male,no,one,H_W_H,28860_43200
lt35,20 to 35,no,male,yes,one,H_G_H_G_H,50400_50520_57600_61380
gt100,35 to 60,yes,male,yes,two or more,H_W_H_G_R_D_X_H,28980_32580_39780_43260_50520_50700_54180
lt35,35 to 60,yes,female,no,two or more,H_E_H_E_H,43380_50460_64980_68580
lt35,19 and under,yes,female,no,two or more,H_E_H_W_H,43380_50460_57660_79200
lt35,19 and under,yes,female,no,two or more,H_E_H_W_H,43380_50460_50640_72000
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H,25200_68400
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H,28860_64800
gt35-lt100,35 to 60,no,male,no,one,H_W_H_V_H,21900_54240_68400_72000
gt100,35 to 60,yes,female,yes,two or more,H_D_W_P_H,25500_28800_57780_64800
gt35-lt100,35 to 60,yes,female,no,two or more,H_W_H_D_H,14580_46800_47040_50460
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_G_H,18300_54240_57720
gt35-lt100,20 to 35,yes,male,no,two or more,H_R_V_H,39600_43200_79260
gt35-lt100,20 to 35,yes,female,no,one,H_D_W_D_H,25200_25500_57840_61380
gt35-lt100,35 to 60,yes,male,no,one,H_W_H,21600_68460
gt100,35 to 60,no,female,no,one,H_S_E_G_E_G_H_G_V_H,32460_32640_36000_43440_50460_57660_65040_68640_72060
gt100,35 to 60,no,male,no,one,H_S_E_G_E_G_H_G_V_H,32460_32580_36000_43380_50460_57660_65040_68700_72060
gt35-lt100,above 60,no,female,yes,two or more,H_S_H_S_H_V_H,25380_25380_57840_61260_64800_75600
gt100,above 60,no,female,yes,two or more,H_E_W_G_H_X,25320_25380_61380_68400_68580
gt100,above 60,no,male,no,two or more,H,
gt100,35 to 60,no,male,yes,two or more,H_W_H_E_H,28800_57780_61440_75780
gt35-lt100,35 to 60,yes,female,no,two or more,H_E_G_H_D_E_G_D_H,43200_43380_46800_68400_68580_79200_79440_82800
gt35-lt100,35 to 60,yes,male,no,two or more,H_E_G_H_D_E_S_D_H,43200_43380_46800_68400_68580_79200_79440_82800
gt100,above 60,no,female,yes,two or more,H_W_H,28800_57600
gt100,35 to 60,no,male,yes,two or more,H_W_H,21780_68400
gt100,above 60,no,male,yes,two or more,H,
gt100,above 60,no,female,no,two or more,H_W_X_H,21780_54060_54300
gt100,35 to 60,yes,female,yes,two or more,H_S_G_H_P_S_V_H_X_S_H,29100_36120_36180_43500_50400_50580_50640_54060_68580_72180
gt100,19 and under,yes,male,no,two or more,H_X_H_W_H,43260_47040_50640_57660
gt35-lt100,35 to 60,no,female,yes,one,H_W_H_V_H,25320_54060_65040_79320
gt35-lt100,35 to 60,no,male,yes,one,H_W_S_H,21780_54180_61440
gt35-lt100,20 to 35,yes,male,yes,two or more,H_V_E_H,64800_64980_72240
gt35-lt100,20 to 35,no,male,no,one,H_W_G_H,32580_68400_68640
lt35,35 to 60,no,female,yes,two or more,H_X_H_W_G_H_S_H,14460_18180_21660_54060_57720_68400_72300
lt35,above 60,no,male,yes,two or more,H_X_H_W_V_W_H_S_E_S_H,18000_21600_21780_39600_39780_61200_68400_68580_68640_72300
lt35,20 to 35,no,male,yes,two or more,H_W_V_E_H_X,25200_54180_61260_64860_72180
gt35-lt100,35 to 60,no,male,yes,two or more,H,
gt100,20 to 35,no,female,yes,two or more,H_W_H,25500_64860
gt100,20 to 35,no,male,yes,two or more,H_W_G_H_X_H,28980_61200_61440_68460_72060
gt35-lt100,20 to 35,no,female,yes,one,H_E_W_H,25260_25440_61260
gt35-lt100,20 to 35,no,male,no,one,H_W_E_W_G_H,28800_39780_39900_57840_61320
gt35-lt100,35 to 60,no,male,yes,one,H_W_H_R_H,21660_54060_57780_61380
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H,25440_57780
gt35-lt100,20 to 35,no,male,no,two or more,H_W_H,47040_79380
lt35,35 to 60,yes,female,no,two or more,H_D_W_D_H,25440_28800_54000_54240
lt35,35 to 60,yes,female,no,two or more,H,
gt35-lt100,above 60,no,female,yes,two or more,H_V_D_P_D_H,28860_36240_36300_39900_43260
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_G_E_H_G_H,46980_50580_61200_61260_61260_75840_79260
gt35-lt100,above 60,no,female,yes,one,H_X_S_V_D_S_E_D_H_X_W_H_G_H,25260_28920_36000_39780_39900_43200_50400_50580_54060_57720_61440_75660_75840
gt100,20 to 35,no,male,yes,two or more,H_W_H,32460_68460
gt100,20 to 35,no,female,yes,two or more,H_V_E_W_V_E_H,21780_39780_39840_61380_64980_68520
lt35,20 to 35,no,female,no,one,H_P_H_E_H_E_H,25200_28860_39840_46800_75780_75900
lt35,20 to 35,no,female,no,one,H,
gt35-lt100,35 to 60,no,female,yes,one,H_W_G_H,21660_68520_72000
gt35-lt100,above 60,no,male,yes,none,H_E_W_E_W_H_G_H,21900_25260_43440_46800_61440_65100_68580
lt35,above 60,no,male,yes,two or more,H_E_H,32400_36000
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,21840_61200
gt35-lt100,35 to 60,yes,female,no,two or more,H_W_H,25440_61200
gt35-lt100,19 and under,yes,female,no,two or more,H_C_H,25260_54000
gt100,35 to 60,no,male,no,one,H_W_E_W_H,25200_43200_46860_61200
gt100,35 to 60,no,female,no,two or more,H,
gt100,35 to 60,no,male,no,two or more,H_W_H_E_H,21600_25200_57600_57780
gt35-lt100,20 to 35,no,female,yes,one,H_W_H_G_H,28800_47100_64980_68520
gt100,above 60,no,male,no,two or more,H_X_H_G_H,54300_61200_64980_68460
lt35,35 to 60,no,female,yes,one,H_V_G_X_W_H,25200_28800_29040_46980_54060
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_W_H,21600_43260_43500_61380
gt100,20 to 35,yes,male,yes,two or more,H_W_V_H,28800_64920_72060
gt100,20 to 35,yes,female,yes,two or more,H_D_W_D_H_V_H,29040_32400_61200_61500_64980_72060
gt100,35 to 60,yes,female,yes,two or more,H_X_W_X_H,21840_28860_57600_61380
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21840_57660
gt100,19 and under,yes,male,no,two or more,H_C_H_W_H,21840_36120_46860_72180
gt35-lt100,35 to 60,yes,female,yes,two or more,H_G_H_R_H,54060_57720_57840_64800
gt35-lt100,above 60,yes,male,yes,two or more,H_D_H_X_H,61440_64800_68460_68580
gt100,20 to 35,no,male,yes,two or more,H_W_H,65040_68640
lt35,35 to 60,no,female,no,two or more,H_X_V_G_V_G_H_G_E_H,28860_32460_36000_39600_43260_50460_65040_75600_75840
gt100,above 60,no,male,no,two or more,H_W_H_P_X_H,18300_50400_61200_64980_72180
gt100,35 to 60,no,female,yes,two or more,H_G_W_H_E_H,21840_21900_64800_68520_68640
gt35-lt100,above 60,no,female,no,one,H_S_W_G_H,32400_32460_57840_64800
gt35-lt100,20 to 35,no,male,no,two or more,H_W_H,25200_57780
gt100,35 to 60,yes,male,yes,two or more,H_W_E_W_H,18180_36240_43260_54180
gt100,20 to 35,yes,female,no,two or more,H_S_H,25380_28800
gt100,19 and under,yes,female,no,two or more,H_C_H,21780_50460
gt100,35 to 60,yes,male,yes,two or more,H_Z_W_E_W_D_P_H_E_G_H,28980_32400_46800_46860_50640_54000_57720_72180_72300_75600
gt100,35 to 60,yes,female,yes,two or more,H_W_P_H_E_G_H,28980_54000_57720_72120_72240_72300
gt100,35 to 60,yes,male,no,two or more,H_R_G_E_R_V_H,43380_46980_47100_50460_54180_68640
gt100,35 to 60,yes,male,yes,two or more,H_Z_E_G_H_V_H,32580_36120_43200_43260_54060_65040
gt35-lt100,35 to 60,no,female,no,two or more,H_W_S_E_W_S_W_H,29040_50520_50580_50580_54120_54240_61260
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,21900_54180
gt100,35 to 60,no,male,yes,two or more,H_W_H,54000_57600
gt100,35 to 60,no,male,yes,two or more,H_W_G_S_H,21840_57660_61260_61500
gt100,35 to 60,no,male,yes,two or more,H_W_H,21600_61200
gt35-lt100,above 60,no,female,yes,two or more,H_W_H,25260_50640
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,21660_54060
gt35-lt100,35 to 60,no,female,no,two or more,H_E_V_H_V_G_E_G_V_H,32580_36180_39660_43200_43380_46860_50400_54060_54180
gt35-lt100,35 to 60,no,male,no,two or more,H_V_H,64980_82980
gt100,35 to 60,yes,female,yes,two or more,H_X_W_G_H_S_H_W_H_X_H,36000_36180_46860_47100_54000_57600_57840_65100_72000_72120
gt100,19 and under,yes,male,no,two or more,H_C_H_S_H,25260_50460_54000_57600
gt35-lt100,35 to 60,no,female,no,one,H_W_V_G_H,25380_57780_61440_68400
gt100,above 60,yes,male,no,two or more,H_W_S_E_W_H,21780_39780_39900_43500_57600
gt100,19 and under,yes,female,no,two or more,H_C_H_V_H,21900_50580_57720_65100
gt35-lt100,20 to 35,yes,female,yes,one,H_W_G_W_D_E_D_W_H,32580_36240_39660_43320_43440_50400_50640_61440
gt35-lt100,20 to 35,no,female,yes,one,H_V_E_H,57660_61260_72180
gt35-lt100,35 to 60,yes,male,yes,two or more,H_E_G_H,39900_43440_57780
gt100,35 to 60,no,female,yes,two or more,H_W_E_R_D_W_H,36060_46800_50580_54180_57720_75600
gt100,35 to 60,no,male,yes,two or more,H_Z_D_E_R_D_W_H,36120_43500_46800_50580_54180_57720_75600
gt35-lt100,above 60,no,male,no,two or more,H_R,32400
gt35-lt100,35 to 60,no,male,yes,one,H_W_E_W_E_G_H,25500_43320_46800_61440_64800_64860
gt100,35 to 60,yes,male,yes,two or more,H_W_G_H_E_D_H,25380_50400_57600_64860_68580_68640
gt100,35 to 60,no,female,yes,one,H_G_H,64800_65100
gt35-lt100,above 60,no,male,yes,two or more,H_R_E_H_V_Z_H,28800_39780_46800_50700_61260_65040
gt35-lt100,above 60,no,female,no,two or more,H_R_E_H_V_Z_H,25500_39840_46800_54000_61260_65040
gt35-lt100,35 to 60,no,male,yes,one,H_W_H_G_H,32460_61500_64920_72300
lt35,35 to 60,no,female,yes,one,H_W_H_E_H,18120_50640_61440_68640
gt100,35 to 60,yes,male,yes,one,H_D_W_H,25440_28800_61260
gt100,35 to 60,yes,female,yes,one,H_W_D_H,28800_57660_61260
lt35,35 to 60,no,male,no,two or more,H_S_E_H,32400_32640_36300
lt35,35 to 60,no,female,no,two or more,H_W_H,29100_61260
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21840_61200
lt35,above 60,no,female,no,two or more,H_P_G_H,39840_43440_54180
lt35,above 60,no,female,no,one,H_W_H,21840_54300
lt35,35 to 60,no,female,no,two or more,H_D_G_D_H,57660_57780_65100_65100
gt100,20 to 35,yes,female,yes,two or more,H_D_W_D_H,28800_28920_57840_61200
gt100,19 and under,yes,female,no,two or more,H_W_S_V_E_V_E_V_X_H,29040_54000_54180_57900_64800_68580_72180_79200_82800
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21780_61380
gt100,35 to 60,yes,male,yes,two or more,H_R_E_H,36240_39840_46800
gt100,20 to 35,no,male,yes,two or more,H_W_H,21840_57780
gt100,20 to 35,no,female,yes,two or more,H_W_H,25440_61200
gt100,35 to 60,no,male,no,two or more,H_W_H,25380_57600
gt100,35 to 60,no,female,yes,two or more,H_S_G_H,29040_32700_43260
lt35,above 60,yes,female,no,none,H_D_W_H_S_G_H,25320_28800_54180_68580_68640_72060
gt100,above 60,no,male,yes,two or more,H_W_E_W_H_W_V_H_G_X_H,39600_43200_46800_57900_61320_64860_68640_72120_72180_79260
gt100,35 to 60,yes,female,no,two or more,H_W_G_H_X,25500_57780_61260_72000
gt100,19 and under,yes,female,no,two or more,H_C_H_E_H_W_H,36240_43380_47040_50400_50580_61440
gt35-lt100,above 60,yes,female,yes,two or more,H_W_G_H,18060_57780_61260
gt35-lt100,20 to 35,yes,male,no,two or more,H_G_W_H,28920_28980_61260
lt35,35 to 60,no,female,no,one,H_P_H,50400_72180
gt35-lt100,19 and under,yes,male,no,two or more,H_W_H,36180_72000
lt35,20 to 35,no,female,yes,one,H_W_G_H,25200_57780_61200
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_G_W_E_H,25320_43260_46800_61260_72000
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H_S_H_V_H,28860_43320_46860_50580_68460_82920
gt100,35 to 60,no,male,no,two or more,H_W_X_H,21780_54180_61200
gt100,35 to 60,no,female,no,two or more,H_G_W_H,28920_28980_61200
lt35,above 60,no,female,yes,two or more,H_X_H,21720_28860
gt35-lt100,20 to 35,yes,male,yes,two or more,H_G_V_R_G_V_G_V,25380_32580_47100_50700_54180_61440_64980
gt100,35 to 60,yes,male,yes,two or more,H_W_H_G_H_S_H_G_E_H,21600_25200_32580_32640_46800_46920_54240_57720_57780
gt100,20 to 35,yes,female,no,two or more,H_W_H,25260_61200
gt35-lt100,35 to 60,no,female,yes,two or more,H_Z_H,43380_54000
lt35,35 to 60,no,male,no,two or more,H,
lt35,35 to 60,no,male,yes,two or more,H_W_H,28860_65100
gt35-lt100,35 to 60,no,male,yes,two or more,H_W_H,21720_57720
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_W_H,25260_39780_43260_61320
gt100,above 60,no,male,yes,two or more,H_E_W_H,21600_21660_57780
lt35,above 60,no,female,no,one,H_W_G_H,25380_57780_61200
gt35-lt100,35 to 60,yes,female,yes,two or more,H_R_H,43200_61200
gt35-lt100,35 to 60,yes,male,yes,two or more,H_R_H,43200_61200
gt35-lt100,35 to 60,no,male,yes,two or more,H_W_H,39780_68460
gt100,above 60,no,male,yes,two or more,H_Z_H_X_G_H,32460_39600_43500_50580_54120
gt100,35 to 60,no,male,yes,two or more,H_W_H_G_H,18240_57780_65100_68640
gt100,35 to 60,no,female,no,two or more,H_W_H,25260_57600
gt35-lt100,20 to 35,yes,male,no,two or more,H_G_H_D_H_E_H_R_H,39660_39900_43260_50400_68460_72000_75840_3600
gt35-lt100,19 and under,yes,male,no,two or more,H_W_H_V_H,25380_43260_64800_79380
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_G_D_G_H,25320_57780_61260_61380_72300
gt35-lt100,35 to 60,no,male,yes,two or more,H_W_E_W_H_G_H,21660_39780_46860_57840_61380_72300
lt35,35 to 60,yes,male,no,two or more,H_S_G_H,32580_36180_46800
gt100,above 60,no,male,yes,two or more,H,
gt100,35 to 60,yes,female,yes,two or more,H_D_W_H,28800_28920_57780
gt100,35 to 60,yes,male,yes,two or more,H_W,21660
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H_W_H,25200_54180_57840_72120
gt35-lt100,35 to 60,no,male,no,two or more,H_W_E_W_H_R_H,25380_43200_43380_54000_61380_72060
gt100,above 60,no,male,yes,two or more,H_W_H,28860_57660
lt35,above 60,no,male,no,one,H_G_H,14700_14700
gt35-lt100,above 60,no,male,yes,two or more,H_W_H_E_H,25320_57780_61200_65100
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H_E_H,18060_50400_61200_65100
gt100,35 to 60,no,female,yes,one,H_W_G_R_H,39780_57840_61260_68640
lt35,35 to 60,no,female,no,none,H_W_H,25380_61200
gt35-lt100,20 to 35,yes,female,no,one,H_G_D_W_D_H_G_S_H,21780_21780_21900_57600_57840_64920_65100_68520
gt100,35 to 60,no,female,yes,two or more,H_D_H_W_G_H,18300_21720_28860_46980_50460
gt100,35 to 60,yes,female,yes,two or more,H_D_H_G_H_D_H_E_H,32580_32700_36240_36300_54000_54180_61380_68520
gt100,35 to 60,yes,male,yes,two or more,H_G_H_G_W_H_E_H,25260_25320_25380_28800_39780_61380_68520
gt100,19 and under,yes,male,no,two or more,H,
lt35,35 to 60,yes,female,no,two or more,H_W_E_W_G_H,21840_43380_43500_61440_64980
lt35,19 and under,yes,male,no,two or more,H_W_H,29040_61380
lt35,20 to 35,yes,female,no,one,H_D_H_X_H_D_G_H,21840_25260_36240_39780_54180_57660_64920
lt35,20 to 35,yes,male,no,one,H_W_G_H,21840_57660_64920
gt35-lt100,20 to 35,yes,female,no,two or more,H_W_H,28860_61260
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,21660_61440
gt35-lt100,19 and under,yes,male,no,two or more,H_C_H,25440_54240
gt100,20 to 35,no,male,no,two or more,H,
gt100,20 to 35,no,female,yes,two or more,H_W,25200
gt35-lt100,35 to 60,no,female,yes,two or more,H,
lt35,35 to 60,yes,male,no,two or more,H_G_W_E_W_H_G_W,28800_28920_36180_36300_61380_65100_68400
lt35,19 and under,yes,male,no,two or more,H_W_H,36240_72000
lt35,35 to 60,no,female,no,one,H_W_G_S_G_H_Z_G_H,21600_57720_61200_61380_61380_64920_68640_68700
lt35,above 60,no,male,yes,one,H_W_G_H_R_H,39600_57840_61380_65040_75840
gt100,35 to 60,no,female,no,two or more,H_W_H_W_H,43320_46920_50400_61260
gt100,above 60,no,male,no,two or more,H_W_D_W_H_W_P_H,18060_25380_28860_39900_43500_54180_57780
gt35-lt100,35 to 60,no,female,yes,one,H_W_H,14580_68460
gt100,35 to 60,yes,female,yes,two or more,H_W_H_R_H,29100_57600_57900_79380
gt100,35 to 60,yes,male,yes,two or more,H_W_E_H,25320_68520_68700
gt100,19 and under,yes,female,no,two or more,H_C_H_R_H,21900_54000_57900_79380
gt35-lt100,20 to 35,yes,male,yes,two or more,H_D_H_W,54060_54180_68580
gt35-lt100,20 to 35,yes,female,no,two or more,H_D_H_D_H_W_H,28800_28860_28980_29040_32580_61380
