income,age,children,sex,bach_degree,cars,activities,start_times
lt35,35 to 60,no,male,no,one,H_W_H,18180_57600
gt100,35 to 60,yes,female,yes,two or more,H_W_H,25260_54060
gt100,above 60,yes,male,yes,two or more,H_W_H,21720_64800
gt100,19 and under,yes,male,no,two or more,H_W_H,25200_57780
gt35-lt100,19 and under,yes,male,no,two or more,H_C_V_H,25200_50700_61380
lt35,35 to 60,no,male,no,two or more,H_E_W_H,43200_46800_75720
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H_D_H,21600_57780_61380_61440
gt35-lt100,19 and under,yes,female,no,two or more,H_W_H,25320_50640
gt100,35 to 60,yes,female,yes,two or more,H_D_H_X_H,25320_25380_25500_32640
gt100,19 and under,yes,female,no,two or more,H_W_H,54240_82800
gt100,35 to 60,no,female,no,two or more,H_W_E_W_H,25200_39660_39840_57780
gt35-lt100,35 to 60,yes,female,yes,one,H_D_W_D_H_X_H,25380_25380_54240_54300_61260_64860
gt35-lt100,20 to 35,yes,female,yes,two or more,H_W_H,25200_57720
gt35-lt100,20 to 35,yes,male,no,two or more,H_W_H,18240_57600
gt100,above 60,no,male,yes,two or more,H_G_W_R_H,28860_29040_36240_61260
gt100,20 to 35,no,male,yes,two or more,H,
lt35,above 60,no,female,yes,two or more,H_W_D_R_H_G_H,36180_54000_54060_57720_64860_65040
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,50400_79440
gt35-lt100,19 and under,yes,male,no,two or more,H_G_H,50400_54060
lt35,35 to 60,yes,male,yes,two or more,H_W_H,25320_57780
lt35,19 and under,yes,female,no,two or more,H_W_H,57840_72180
gt100,35 to 60,yes,male,yes,two or more,H_D_W_H_D_H_R_H_D_H,29040_29100_46800_46920_47040_65100_72240_79500_82920
gt35-lt100,above 60,no,male,no,one,H_G_H_G_D_H,32460_36180_39600_39900_43260
gt35-lt100,35 to 60,no,female,no,one,H_W_S_G_S_H,21720_54240_57600_57780_57900
lt35,above 60,no,female,no,one,H,
gt35-lt100,35 to 60,yes,female,yes,two or more,H_G_R_D_X_H,36180_39660_54000_57600_57840
gt100,above 60,no,male,yes,two or more,H_S_H_S_G_H,39780_39900_46800_50400_50580
gt100,35 to 60,yes,female,no,two or more,H_W_H_P_H,21780_46800_47040_54180
gt100,19 and under,yes,female,no,two or more,H_S_H_D_R_D_H,36060_36240_54300_54300_64800_64860
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H_X_H,25500_61380_64860_68640
gt35-lt100,20 to 35,no,male,no,two or more,H_W_H,21780_65040
gt35-lt100,35 to 60,no,female,no,one,H_G_W_G_W_H,28800_28920_29040_36060_64860
gt35-lt100,35 to 60,no,female,no,one,H_W_H,21840_54000
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H,29040_61200
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,14640_43380
gt100,35 to 60,no,female,yes,two or more,H_W_E_W_H_E_V_H,25260_43320_43500_54300_57780_57900_79440
gt100,35 to 60,no,male,yes,two or more,H_S_X_H_E_V_H,39900_43500_50400_57780_57900_79320
gt100,35 to 60,yes,female,yes,two or more,H_D_W_D_P_H,25380_25500_61260_64860_64980
gt100,35 to 60,yes,male,no,two or more,H_W_H,25440_61380
gt100,19 and under,yes,male,no,two or more,H_C_H_W,39840_50400_72180
lt35,35 to 60,yes,female,no,two or more,H_S_H_W_H,32640_36180_54300_79500
lt35,19 and under,yes,female,no,two or more,H_W_H,32640_72180
lt35,19 and under,yes,female,no,two or more,H_W_G_H_V_H,39660_64800_64860_68460_79440
gt100,35 to 60,yes,male,yes,two or more,H_W_H,28980_50400
gt35-lt100,above 60,no,male,no,two or more,H_W_H_S_H_V_H,21600_39600_57600_57600_64920_68640
gt35-lt100,35 to 60,no,female,no,two or more,H_W_G_H,21780_57720_61380
